customer_id,Recency,Frequency,Monetary,gender,age,city,membership_type,avg_rating,discount_applied,satisfaction
101,25,14,1120.2,Female,29,New York,Gold,4.6,True,Satisfied
102,18,11,780.5,Male,34,Los Angeles,Silver,4.1,False,Neutral
103,42,9,510.75,Female,43,Chicago,Bronze,3.4,True,Unsatisfied
104,12,19,1480.3,Male,30,San Francisco,Gold,4.7,False,Satisfied
105,55,13,720.4,Male,27,Miami,Silver,4.0,True,Unsatisfied
106,22,8,440.8,Female,37,Houston,Bronze,3.1,False,Neutral
107,28,15,1150.6,Female,31,New York,Gold,4.5,True,Satisfied
108,14,12,800.9,Male,35,Los Angeles,Silver,4.2,False,Neutral
109,40,10,495.25,Female,41,Chicago,Bronze,3.6,True,Unsatisfied
110,9,21,1520.1,Male,28,San Francisco,Gold,4.8,False,Satisfied
111,34,11,690.3,Male,32,Miami,Silver,3.8,True,Unsatisfied
112,20,7,470.5,Female,36,Houston,Bronze,3.2,False,Neutral
113,21,16,1200.8,Female,30,New York,Gold,4.3,True,Satisfied
114,15,13,820.75,Male,33,Los Angeles,Silver,4.4,False,Satisfied
115,38,9,530.4,Female,42,Chicago,Bronze,3.5,True,Unsatisfied
116,11,18,1360.2,Male,29,San Francisco,Gold,4.9,False,Satisfied
117,48,12,700.6,Male,26,Miami,Silver,3.7,True,Unsatisfied
118,25,8,450.9,Female,38,Houston,Bronze,3.0,False,Neutral
119,29,14,1170.3,Female,32,New York,Gold,4.7,True,Satisfied
120,16,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
121,41,10,505.75,Female,43,Chicago,Bronze,3.3,True,Unsatisfied
122,13,20,1470.5,Male,30,San Francisco,Gold,4.8,False,Satisfied
123,54,13,710.4,Male,27,Miami,Silver,4.1,True,Unsatisfied
124,23,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
125,27,15,1140.6,Female,31,New York,Gold,4.6,True,Satisfied
126,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
127,39,9,485.25,Female,41,Chicago,Bronze,3.6,True,Unsatisfied
128,10,21,1500.1,Male,28,San Francisco,Gold,4.9,False,Satisfied
129,33,10,670.3,Male,32,Miami,Silver,3.8,True,Unsatisfied
130,19,8,460.5,Female,36,Houston,Bronze,3.1,False,Neutral
131,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
132,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
133,37,9,520.4,Female,42,Chicago,Bronze,3.5,True,Unsatisfied
134,10,18,1370.2,Male,29,San Francisco,Gold,4.7,False,Satisfied
135,47,12,690.6,Male,26,Miami,Silver,3.9,True,Unsatisfied
136,24,8,440.9,Female,38,Houston,Bronze,3.2,False,Neutral
137,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
138,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
139,40,10,500.75,Female,43,Chicago,Bronze,3.3,True,Unsatisfied
140,12,20,1460.5,Male,30,San Francisco,Gold,4.8,False,Satisfied
141,53,13,700.4,Male,27,Miami,Silver,4.0,True,Unsatisfied
142,21,7,420.8,Female,37,Houston,Bronze,3.1,False,Neutral
143,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
144,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
145,38,9,480.25,Female,41,Chicago,Bronze,3.6,True,Unsatisfied
146,9,21,1490.1,Male,28,San Francisco,Gold,4.9,False,Satisfied
147,32,10,680.3,Male,32,Miami,Silver,3.8,True,Unsatisfied
148,18,8,470.5,Female,36,Houston,Bronze,3.0,False,Neutral
