index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct,brand_premium_index,price_retention
9,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,Hair Care,StBotanica,1098.0,1098.0,Shampoo & Conditioner,3.5,"An exclusive blend with Vitamin B7 Biotin, Hydrolyzed collagen, Oat Extract along with premium & organic cold-pressed ingredients helps to infuse nutrients into every strand and creates the appearance of thicker, fuller healthier looking hair. This powerful formula helps volumize even the skinniest strands into fuller and more abundant looking locks. It is safe for color-treated hair and safe for all hair types. St Botanica Biotin & Collagen Hair Conditioner has been specially formulated to repair dry & damaged hair for full, thick, voluminous, shiny & healthy looking hair! The amazing hair conditioner ingredients include Biotin, Hydrolyzed Collagen, Pro-Vitamin B5, Vitamin E, & Hydrolyzed Silk Proteins for glistening looking hair. Biotin and Collagen, infused with most efficacious natural extracts not only promotes healthy hair growth but also prevents hair dryness, increases the elasticity of the hair cortex, thereby strengthening hair, minimizing hair breakage and helping hair grow longer, healthier and thicker. PLUMP IT UP: the nutrient-rich, plump-it-up power of this haircare infused with ProVitamin B7 biotin and collagen helps give each strand of hair a beautiful boost, this dynamic duo will leave your hair feeling thicker, fuller, and looking oh, so healthy.",1098.0,1098.0,0.0,673.7553191489362,1.0
97,Hair Remover Spray - Foam Lemon,Beauty & Hygiene,Feminine Hygiene,Dimples,1200.0,1200.0,Hair Removal,4.2,"Denim BlackÃ‚ is made for the bold and the confident. The unmistakably intense and woody accord of Patchouli, Sandalwood & Cedar represent masculinity, while Amber, Labdanum & Oakmoss balances the composition with warm sensual tones.  For Beauty tips, tricks & more visit https://bigbasket.blog/",1200.0,1200.0,0.0,983.3333333333334,1.0
129,Nutrition Plus Health Supplement - Joint Support,Beauty & Hygiene,Health & Medicine,Abbies,1299.0,1299.0,Supplements & Proteins,4.0,"This supplement contains Glucosamine and Chondroitin, which may support joints in order to promote healthy cartilage and tissue, while MSM supports healthy collagen for supreme joint support. Joint Support is great to help with painful stiffness, discomfort, and poor range of motion. With a specialised Glucosamine Chondroitin complex per serving, you can move easily and comfortably again. Chondroitin is the most abundant glycosaminoglycan in cartilage and is partly responsible for the resiliency of cartilage. Chondroitin is also important in preventing the action of enzymes that can destroy cartilage.",1299.0,1299.0,0.0,999.0,1.0
202,1001 Nights Concentrated Oriental Perfume Free From Alcohol For Unisex,Beauty & Hygiene,Fragrances & Deos,Ajmal,2399.470000000001,5000.0,Attar,3.9,"Uniting deep-rooted traditions with modern times, Alf Lail O Lail Eau de Parfum, comprises Spicy and Smoky notes, which evolve into a menagerie of Floral elements, complemented by the lingering effect of Musky and Woody notes. Equally as enchanting as the fragrance and in continuation of the â€˜1001 Arabian Nightsâ€™ theme, the Eau de Parfum is encased in an exquisitely-crafted bottle resembling a magic lamp. The matt-gold finish of the casing and the silver cap add to the charm of the authentic looking Arabian bottle containing 60 ml of the entrancing scent, capturing the magic and mystery of the orient.",4900.0,2399.470000000001,52.010599999999975,1086.6448529411766,0.4798940000000002
240,Green Tea Gentle Detox Set,Beauty & Hygiene,Skin Care,The Moms Co,972.0,972.0,Body Care,4.1,"Our Green Tea Detox Scrub Box has our gel-based Face & Body scrub that scrubs away dead cells, dirt and dullness with seeds gentle enough even for sensitive skin. While Black Sand and Tagua Nut gently exfoliate, Aloe Vera soothes and hydrates skin leaving it soft & healthNay. Green Tea & Plant AHAs remove excess oil & control sebum production.",972.0,972.0,0.0,722.4324324324324,1.0
254,Regenerist - Advanced Anti-Ageing Revitalising Hydration Skin Cream Moisturizer SPF 15,Beauty & Hygiene,Skin Care,Olay,1049.25,1399.0,Face Care,4.1,"Olay Regenerist offers advanced appearance correcting anti aging skin care products that help regenerate skins appearance without drastic measures. Formulated with an exclusive Olay amino-peptide + B3 complex, Regenerist incorporates other proven anti-aging ingredients such as vitamin E, pro-vitamin B5, green tea extract, allantoin, and glycerin. Olay Regenerist renews skins outer layer one cell at a time, helps regenerate its appearance quickly and strengthens its moisture barrier.",1049.25,1049.25,25.0,755.5142857142857,0.75
270,Perfume - Youth Dew EDP Spray,Beauty & Hygiene,Fragrances & Deos,Estee Lauder,2399.470000000001,3500.0,Eau De Parfum,3.9,"Top notes are aldehydes, orange, spices, peach, bergamot, narcissus and lavender; middle notes are cinnamon, cassia, orchid, jasmine, cloves, ylang-ylang, rose, lily-of-the-valley and spicy notes; base notes are tolu balsam, peru balsam, amber, patchouli, musk, vanilla, oakmoss, vetiver and incense. Fragrance Type- Oriental Spicy  For Beauty tips, tricks & more visit https://bigbasket.blog/",3500.0,2399.470000000001,31.44371428571425,2399.470000000001,0.6855628571428575
276,United Dreams Go Far Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,United Colors Of Benetton ,1330.0,1900.0,Eau De Toilette,5.0,"The new men's fragrance from the United Dreams collection is dedicated to any man who loves letting loose and living in the moment. Fresh and energetic, this perfume perfectly embodies a strong and brave attitude. Its vitality is expressed via marine and lime features that combine with hints of cardamom, lavender and lotus spices. A mix that is intensified by dashes of musk, cedarwood, and amber.",1330.0,1330.0,30.0,1434.5200000000004,0.7
292,Solution Anti Blackhead/Whitehead Masksheet (Pack of 10),Beauty & Hygiene,Skin Care,The Face Shop,900.0,1500.0,Face Care,4.1,"This basic mask sheet line that provides an honest solution to solve skin troubles, The Solution Pore Care Face Mask by Faceshop is your ultimate beauty saviour! This face mask features a light-as-air sheet that feels soft and weightless on skin. The serum containing ingredients that provide pore care properties that help achieve a stunning texture. Bye bye, bad skin! It is enriched with rich essentials to help achieve smooth and healthy skin. This product is dermatologically tested and created to give you a gorgeous Korean beauty experience. Beauty treasure for millions around the globe, Faceshop is a South-Korea based skincare line that provides fabulous goodies for your beauty rituals. Ranging affordable high-quality products born from botany, this sensational brand believes in creating products that stem from a lovely concept of Science meets Beauty. In a nutshell, Faceshop is your ultimate dream destination to treat your skin to its best beautiful.This basic mask sheet line that provides an honest solution to solve skin troubles. The Solution Firming Face Mask by Faceshop is your ultimate beauty saviour! This face mask features a light-as-air sheet that feels soft and weightless on skin. The serum containing Ceramides provides a moisturizing solution to dry, rough skin. Bye bye, bad skin! It is enriched with rich essentials to help achieve smooth and healthy skin. This product is dermatologically tested and created to give you a gorgeous Korean beauty experience. Beauty treasure for millions around the globe, Faceshop is a South-Korea based skincare line that provides fabulous goodies for your beauty rituals. Ranging affordable high-quality products born from botany, this sensational brand believes in creating products that stem from a lovely concept of Science meets Beauty. In a nutshell, Faceshop is your ultimate dream destination to treat your skin to its best beautiful.This basic mask sheet line that provides an honest solution to solve skin troubles, The Solution Nourishing Face Mask by Faceshop is your ultimate beauty saviour! This face mask features a light-as-air sheet that feels soft and weightless on skin. The serum containing Ceramides provides a moisturizing solution to dry, rough skin. Bye bye, bad skin! Enriched with rich essentials to help achieve smooth and healthy skin. This product is dermatologically tested and created to give you a gorgeous Korean beauty experience. Beauty treasure for millions around the globe, Faceshop is a South-Korea based skincare line that provides fabulous goodies for your beauty rituals. Ranging affordable high-quality products born from botany, this sensational brand believes in creating products that stem from a lovely concept of Science meets Beauty. In a nutshell, Faceshop is your ultimate dream destination to treat your skin to its best beautiful.This basic mask sheet line that provides an honest solution to solve skin troubles, The Solution Soothing Face Mask by Faceshop is your ultimate beauty saviour! This face mask features a light-as-air sheet that feels soft and weightless on skin. The serum containing ingredients that provide pore care properties that help achieve a stunning texture. Bye bye, bad skin! It is enriched with rich essentials to help achieve smooth and healthy skin. This product is dermatologically tested and created to give you a gorgeous Korean beauty experience. Beauty treasure for millions around the globe, Faceshop is a South-Korea based skincare line that provides fabulous goodies for your beauty rituals. Ranging affordable high-quality products born from botany, this sensational brand believes in creating products that stem from a lovely concept of Science meets Beauty. In a nutshell, Faceshop is your ultimate dream destination to treat your skin to its best beautiful.This Face Shop soothing jelly essence mask gently soothes fatigued and irritated skin after a hot summer day. This refreshing mask sheet with jelly essence provides an excellent cooling effect and tightens pores. The jelly essence absorbs into skin with no sticky residue to provide a long cooling effect. The face shop soothing jelly mask pore care intense moisture mask sheet is made with 100% peppermint fiber and the natural plant-derived sheet clings comfortably to the skin, soothes skin with moisture and provides a long-lasting cooling sensation.",900.0,900.0,40.0,833.1990909090908,0.6
344,For Men Evolution Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,Jaguar,1900.8,3300.0,Eau De Toilette,3.9,"Bergamot, mint, orange and basil open the composition and with the fresh, aromatic start announce a blend of clary sage, cardamom, apple and lavender in the heart. Base notes cuddle and warm us subtly with amber, sandalwood and musk",1900.8,1900.8,42.4,1844.7463636363639,0.576
349,Bonacure Conditioner - Repair Rescue,Beauty & Hygiene,Hair Care,Schwarzkopf Professional,900.0,900.0,Shampoo & Conditioner,5.0,"Schwarzkopf Professional Bonacure Repair Rescue Conditioner is a light conditioner that will mildly replenish your damaged hair without weighing it down. It strengthens hair from its roots making them more elastic. It is ideal for damaged, porous, over processed hair. The best conditioner to keep your hair healthy and good looking.For Beauty tips, tricks & more visit https://bigbasket.blog/",900.0,900.0,0.0,938.1666666666666,1.0
454,Veda Keto-Slim Ultra Weight Loss,Beauty & Hygiene,Health & Medicine,Vedapure,1699.0,1699.0,Ayurveda,4.0,"Vedapure Naturals Keto Slim advanced weight loss allows you to burn fat naturally through a metabolic state known as ketosis. When you are in the state of ketosis, your body burns fatty acids instead of sugar or glucose. This means that your body does all the heavy lifting work to achieve weight loss by turning excess fat into your body's main source of energy fuel.",1699.0,1699.0,0.0,1080.1764705882354,1.0
461,Brightening Serum,Beauty & Hygiene,Skin Care,Kaya Clinic,942.0,1450.0,Face Care,4.0,"Brightening serum contains a potent active lightening complex known to even the skin tone, lighten freckles and age spots as well as helps to reduce hyperpigmented areas. Ferulic acid and Waltheria Indica extracts have a regulatory effect on melanin skin pigmentation. It is clinically tested to decrease pigmentation and brighten your skin.",942.0,942.0,35.03448275862069,746.1798507462687,0.6496551724137931
