customer_id,Recency,Frequency,Monetary,gender,age,city,membership_type,avg_rating,discount_applied,satisfaction
102,18,11,780.5,Male,34,Los Angeles,Silver,4.1,False,Neutral
106,22,8,440.8,Female,37,Houston,Bronze,3.1,False,Neutral
108,14,12,800.9,Male,35,Los Angeles,Silver,4.2,False,Neutral
112,20,7,470.5,Female,36,Houston,Bronze,3.2,False,Neutral
118,25,8,450.9,Female,38,Houston,Bronze,3.0,False,Neutral
120,16,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
124,23,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
126,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
130,19,8,460.5,Female,36,Houston,Bronze,3.1,False,Neutral
136,24,8,440.9,Female,38,Houston,Bronze,3.2,False,Neutral
138,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
142,21,7,420.8,Female,37,Houston,Bronze,3.1,False,Neutral
144,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
148,18,8,470.5,Female,36,Houston,Bronze,3.0,False,Neutral
150,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
154,23,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
156,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
160,19,8,460.5,Female,36,Houston,Bronze,3.1,False,Neutral
166,24,8,440.9,Female,38,Houston,Bronze,3.2,False,Neutral
168,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
174,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
178,18,8,470.5,Female,36,Houston,Bronze,3.0,False,Neutral
180,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
184,23,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
186,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
190,19,8,460.5,Female,36,Houston,Bronze,3.1,False,Neutral
196,24,8,440.9,Female,38,Houston,Bronze,3.2,False,Neutral
198,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
202,21,7,420.8,Female,37,Houston,Bronze,3.1,False,Neutral
204,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
208,18,8,470.5,Female,36,Houston,Bronze,3.0,False,Neutral
210,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
214,23,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
216,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
220,19,8,460.5,Female,36,Houston,Bronze,3.1,False,Neutral
226,24,8,440.9,Female,38,Houston,Bronze,3.2,False,Neutral
228,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
232,21,7,420.8,Female,37,Houston,Bronze,3.1,False,Neutral
234,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
238,18,8,470.5,Female,36,Houston,Bronze,3.0,False,Neutral
240,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
246,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
250,18,8,470.5,Female,36,Houston,Bronze,3.0,False,Neutral
252,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
256,23,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
258,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
262,19,8,460.5,Female,36,Houston,Bronze,3.1,False,Neutral
268,24,8,440.9,Female,38,Houston,Bronze,3.2,False,Neutral
270,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
274,23,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
276,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
280,18,8,470.5,Female,36,Houston,Bronze,3.0,False,Neutral
282,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
286,23,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
288,13,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
292,19,8,460.5,Female,36,Houston,Bronze,3.1,False,Neutral
298,24,8,440.9,Female,38,Houston,Bronze,3.2,False,Neutral
300,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
303,21,7,450.6,Female,35,Houston,Bronze,3.3,False,Neutral
305,16,11,780.9,Male,27,Los Angeles,Silver,4.2,False,Neutral
309,25,8,460.9,Female,38,Houston,Bronze,3.2,False,Neutral
311,14,11,810.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
315,24,7,420.8,Female,37,Houston,Bronze,3.4,False,Neutral
317,13,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
321,18,8,470.5,Female,36,Houston,Bronze,3.0,False,Neutral
323,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
327,23,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
329,13,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
333,19,8,460.5,Female,36,Houston,Bronze,3.1,False,Neutral
339,24,8,440.9,Female,38,Houston,Bronze,3.2,False,Neutral
341,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
345,25,7,440.8,Female,37,Houston,Bronze,3.2,False,Neutral
347,14,12,830.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
351,20,8,480.5,Female,36,Houston,Bronze,3.1,False,Neutral
353,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
357,26,7,410.8,Female,37,Houston,Bronze,3.4,False,Neutral
359,14,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
363,21,8,430.5,Female,36,Houston,Bronze,3.1,False,Neutral
365,16,11,780.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
369,24,7,450.8,Female,37,Houston,Bronze,3.4,False,Neutral
371,17,12,800.9,Male,35,Los Angeles,Silver,4.1,False,Neutral
375,22,8,470.5,Female,36,Houston,Bronze,3.0,False,Neutral
377,18,11,770.2,Male,33,Los Angeles,Silver,4.2,False,Neutral
381,27,7,430.8,Female,37,Houston,Bronze,3.4,False,Neutral
383,15,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
387,23,8,440.5,Female,36,Houston,Bronze,3.1,False,Neutral
389,16,11,780.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
393,28,7,450.8,Female,37,Houston,Bronze,3.4,False,Neutral
395,17,12,800.9,Male,35,Los Angeles,Silver,4.1,False,Neutral
