index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct,product_url,rating_value
241,Fresh Catch Fish Fingers,"Eggs, Meat & Fish",Fish & Seafood,Ifb,240.0,240.0,Frozen Fish & Seafood,3.8,"You can’t beat the classics. Perfectly crispy and exceptionally dippable, our Crunchy Fish Fingers are always delicious, making them the perfect intro for any get-together of family and friends.",240.0,240.0,0.0,https://www.bigbasket.com/pd/40003220/ifb-fresh-catch-fish-fingers-200-g-carton/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=3&t_s=Fresh%2520Catch%2520Fish%2520Fingers,3.8
261,Chicken Cocktail Sausage,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Fresho,171.6,220.0,Chicken Sausages,4.5,"Chicken Cocktail Sausage is made with premium ingredients, giving you the perfect blend of flavours. Easy to cook, this is a perfect option to tame your hunger pangs. Indulge in some premium taste with Fresho.",171.6,171.6,22.000000000000004,https://www.bigbasket.com/pd/40001198/buffet-chicken-cocktail-sausage-garlic-herbs-heat-serve-200-g-pouch/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=4&t_s=Chicken%2520Cocktail%2520Sausage%2520-%2520Garlic%2520%2526%2520Herbs%2520%2528Heat%2520%2526%2520Serve%2529,4.5
294,Pork Classic Salami,"Eggs, Meat & Fish","Sausages, Bacon & Salami",La Carne,191.25,225.0,Pork & Ham,4.1,"At La Carne, we take pride in offering products of high quality. La Carne brings to you the authentic taste of premium Imported Pork Products. Quick Freezing technology used to preserve all the goodness and freshness inside. Made with best of European Pork meat, which is lean with low fat. Pork Salami is the mildly flavoured and integral part of any breakfast.",191.25,191.25,15.0,https://www.bigbasket.com/pd/40162597/la-carne-pork-classic-salami-250-g-pkt/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Pork%2520Classic%2520Salami,4.1
314,"Pork - Fresh Bacon, Sliced","Eggs, Meat & Fish","Sausages, Bacon & Salami",Fresho Signature,360.0,400.0,Pork & Ham,2.9,Casanova Bacon Sliced (Fresh) is a premium-quality bacon. The lean slices of pork are cured and slowly smoked over Applewood chips for up to 24 hours. Manufactured at Spain. Packed as per Customer requirement. Not a standard pack under weights & Measurement Guidelines. Consume within 05 days from date of Packing. Store in refrigerator at or below 05 degree C in an airtight container.,360.0,360.0,10.0,https://www.bigbasket.com/pd/40094879/fresho-signature-pork-streaky-bacon-sliced-200-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Pork%2520-%2520Streaky%2520Bacon%252C%2520Sliced,2.9
318,Chicken Jalapeno Cheese Nuggets,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Meatzza,285.0,300.0,Chicken Sausages,4.0,"Boneless chicken meat, formed, batter-coated & breadcrumbed. Bite into these mildly spiced cheese nuggets every weekend. Enjoy it with family and friends. Whenever you have Hunger Pangs or you are planning a party you want something quick, open a pack of Meatzza Snackers. Just heat and eat.",285.0,285.0,5.0,https://www.bigbasket.com/pd/40183638/meatzza-chicken-jalapeno-cheese-nuggets-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Chicken%2520Jalapeno%2520Cheese%2520Nuggets,4.0
366,"Pork - Mortadella with Olives, Sliced","Eggs, Meat & Fish","Sausages, Bacon & Salami",Fresho Signature,410.4,456.0,Pork & Ham,3.0,"Dautore Mortadella with Olives is large Italian sausage made of finely hashed or ground, heat-cured pork. It has at least 15% small cubes of pork flavoured with spices and olives, including whole or ground black pepper, myrtle berries. Manufactured at Italy. Packed as per Customer requirement. Not a standard pack under weights & Measurement Guidelines. Consume within 05 days from date of Packing. Store in refrigerator at or below 05 degree C in an airtight container.",410.4,410.4,10.000000000000004,https://www.bigbasket.com/pd/40037479/fresho-signature-bread-sour-dough-with-olives-pre-sliced-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=4&t_s=Bread%2520-%2520Sour%2520Dough%2520With%2520Olives%252C%2520Pre%2520Sliced,3.0
370,Basa Fish - Fillet Family Pack,"Eggs, Meat & Fish",Fish & Seafood,Seastar,499.0,499.0,Frozen Fish & Seafood,4.2,"Good Source for Lean Protein, Individually Quick Frozen, Healthy Low Fat Food, Rich in Omega-3 Fatty Acid.",499.0,499.0,0.0,https://www.bigbasket.com/pd/40099677/seastar-basa-fish-fillet-family-pack-1-kg/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Basa%2520Fish%2520-%2520Fillet%2520Family%2520Pack,4.2
498,Free Range Eggs - Omega 3,"Eggs, Meat & Fish",Eggs,Happy Hens Farms,150.0,150.0,Farm Eggs,3.1,"Happy Hens Farms Eggs are from chickens feed on herbs, grains, in addition to bugs, greens and others in the range which enriches the eggs uniquely. These are providing the strength and energy to patients. Our eggs are hygienically processed and also safely packed for keeping these free from any contamination and impurity. It contains rich nutritional content, protein, rich taste and the fragrance.",150.0,150.0,0.0,https://www.bigbasket.com/pd/40001285/happy-hens-farms-free-range-eggs-omega-3-6-pcs-carton/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Free%2520Range%2520Eggs%2520-%2520Omega%25203,3.1
565,Imitation - Crab Sticks,"Eggs, Meat & Fish",Fish & Seafood,Gadre,195.0,195.0,Frozen Fish & Seafood,4.0,"Gadre Jus-Like Crab Stick Ingredients: Surimi (Fish Meat, Sugar, Polyphosphate), Water, Wheat Starch, Corn Starch, Tapioca Stacrh, Salt, Crab Extract, Monosodium glutamtae, Mirin, Sorbitol, Sodium d-Gluconate, Glycine, Sugar, Modified Tapioca Starch, Egg White Powder, Nature identical, Crab Flavour, Carrageenan, Carmine colour, Paprika colour.",195.0,195.0,0.0,https://www.bigbasket.com/pd/40001540/gadre-imitation-crab-sticks-250-g-pouch/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Imitation%2520-%2520Crab%2520Sticks,4.0
611,"Sausage - Chicken, Cocktail","Eggs, Meat & Fish","Sausages, Bacon & Salami",Quickee'S,205.0,205.0,Chicken Sausages,3.9,Quickee presents their deliciously mouth-watering range of meat products which will enchant your taste buds and leave you craving for more as you rake up your favourite meals. Make your morning breakfasts more exciting by serving Quickees Chicken Cocktail Sausages along with eggs and toast for a scrumptious and a healthy meal.,205.0,205.0,0.0,https://www.bigbasket.com/pd/900457833/meisterwurst-chicken-cocktail-sausage-200-g-pouch/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=11&t_s=Chicken%2520Cocktail%2520Sausage%2520-Poultry%2520Meat%2520%2528Chicken%2529%252073%2525%252CNo%2520soya,3.9
