customer_id,Recency,Frequency,Monetary,gender,age,city,membership_type,avg_rating,discount_applied,satisfaction
102,18,11,780.5,Male,34,Los Angeles,Silver,4.1,False,Neutral
108,14,12,800.9,Male,35,Los Angeles,Silver,4.2,False,Neutral
114,15,13,820.75,Male,33,Los Angeles,Silver,4.4,False,Satisfied
120,16,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
126,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
132,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
138,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
144,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
150,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
156,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
162,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
168,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
174,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
180,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
186,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
192,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
198,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
204,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
210,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
216,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
222,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
228,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
234,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
240,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
246,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
252,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
258,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
264,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
270,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
276,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
282,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
288,13,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
294,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
300,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
305,16,11,780.9,Male,27,Los Angeles,Silver,4.2,False,Neutral
311,14,11,810.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
317,13,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
323,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
329,13,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
335,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
341,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
347,14,12,830.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
353,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
359,14,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
365,16,11,780.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
371,17,12,800.9,Male,35,Los Angeles,Silver,4.1,False,Neutral
377,18,11,770.2,Male,33,Los Angeles,Silver,4.2,False,Neutral
383,15,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
389,16,11,780.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
395,17,12,800.9,Male,35,Los Angeles,Silver,4.1,False,Neutral
401,18,11,800.2,Male,33,Los Angeles,Silver,4.1,False,Neutral
407,16,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
413,17,11,780.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
419,19,12,800.9,Male,35,Los Angeles,Silver,4.1,False,Neutral
425,18,11,780.2,Male,34,Los Angeles,Silver,4.2,False,Neutral
431,20,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
437,19,11,780.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
443,20,12,800.9,Male,35,Los Angeles,Silver,4.1,False,Neutral
449,21,11,780.2,Male,34,Los Angeles,Silver,4.2,False,Neutral
