customer_id,Recency,Frequency,Monetary,gender,age,city,membership_type,avg_rating,discount_applied,satisfaction
101,25,14,1120.2,Female,29,New York,Gold,4.6,True,Satisfied
107,28,15,1150.6,Female,31,New York,Gold,4.5,True,Satisfied
113,21,16,1200.8,Female,30,New York,Gold,4.3,True,Satisfied
119,29,14,1170.3,Female,32,New York,Gold,4.7,True,Satisfied
125,27,15,1140.6,Female,31,New York,Gold,4.6,True,Satisfied
131,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
137,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
143,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
149,19,16,1180.8,Female,30,New York,Gold,4.7,True,Satisfied
155,27,15,1140.6,Female,31,New York,Gold,4.6,True,Satisfied
161,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
167,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
173,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
179,19,16,1180.8,Female,30,New York,Gold,4.7,True,Satisfied
185,27,15,1140.6,Female,31,New York,Gold,4.6,True,Satisfied
191,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
197,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
203,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
209,19,16,1180.8,Female,30,New York,Gold,4.7,True,Satisfied
215,27,15,1140.6,Female,31,New York,Gold,4.6,True,Satisfied
221,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
227,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
233,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
239,19,16,1180.8,Female,30,New York,Gold,4.7,True,Satisfied
245,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
251,19,16,1180.8,Female,30,New York,Gold,4.7,True,Satisfied
257,27,15,1140.6,Female,31,New York,Gold,4.6,True,Satisfied
263,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
269,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
275,27,15,1140.6,Female,31,New York,Gold,4.5,True,Satisfied
281,19,16,1180.8,Female,30,New York,Gold,4.7,True,Satisfied
287,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
293,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
299,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
304,18,17,1210.6,Male,31,New York,Gold,4.8,True,Satisfied
310,21,14,1170.3,Female,32,New York,Gold,4.5,True,Satisfied
316,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
322,19,16,1180.8,Female,30,New York,Gold,4.7,True,Satisfied
328,27,15,1140.6,Female,31,New York,Gold,4.5,True,Satisfied
334,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
340,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
346,28,15,1150.6,Female,31,New York,Gold,4.5,True,Satisfied
352,21,16,1170.8,Female,30,New York,Gold,4.7,True,Satisfied
358,29,15,1160.6,Female,31,New York,Gold,4.5,True,Satisfied
364,22,16,1200.8,Female,30,New York,Gold,4.7,True,Satisfied
370,30,15,1140.6,Female,31,New York,Gold,4.5,True,Satisfied
376,23,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
382,31,15,1160.6,Female,31,New York,Gold,4.5,True,Satisfied
388,24,16,1200.8,Female,30,New York,Gold,4.7,True,Satisfied
394,32,15,1140.6,Female,31,New York,Gold,4.5,True,Satisfied
400,25,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
406,33,15,1160.6,Female,31,New York,Gold,4.5,True,Satisfied
412,25,16,1200.8,Female,30,New York,Gold,4.7,True,Satisfied
418,34,15,1140.6,Female,31,New York,Gold,4.5,True,Satisfied
424,27,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
430,35,15,1160.6,Female,31,New York,Gold,4.5,True,Satisfied
436,28,16,1200.8,Female,30,New York,Gold,4.7,True,Satisfied
442,36,15,1140.6,Female,31,New York,Gold,4.5,True,Satisfied
448,28,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
