customer_id,Recency,Frequency,Monetary,gender,age,city,membership_type,avg_rating,discount_applied,satisfaction
101,25,14,1120.2,Female,29,New York,Gold,4.6,True,Satisfied
102,18,11,780.5,Male,34,Los Angeles,Silver,4.1,False,Neutral
104,12,19,1480.3,Male,30,San Francisco,Gold,4.7,False,Satisfied
107,28,15,1150.6,Female,31,New York,Gold,4.5,True,Satisfied
108,14,12,800.9,Male,35,Los Angeles,Silver,4.2,False,Neutral
110,9,21,1520.1,Male,28,San Francisco,Gold,4.8,False,Satisfied
113,21,16,1200.8,Female,30,New York,Gold,4.3,True,Satisfied
114,15,13,820.75,Male,33,Los Angeles,Silver,4.4,False,Satisfied
116,11,18,1360.2,Male,29,San Francisco,Gold,4.9,False,Satisfied
119,29,14,1170.3,Female,32,New York,Gold,4.7,True,Satisfied
120,16,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
122,13,20,1470.5,Male,30,San Francisco,Gold,4.8,False,Satisfied
125,27,15,1140.6,Female,31,New York,Gold,4.6,True,Satisfied
126,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
128,10,21,1500.1,Male,28,San Francisco,Gold,4.9,False,Satisfied
131,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
132,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
134,10,18,1370.2,Male,29,San Francisco,Gold,4.7,False,Satisfied
137,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
138,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
140,12,20,1460.5,Male,30,San Francisco,Gold,4.8,False,Satisfied
143,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
144,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
146,9,21,1490.1,Male,28,San Francisco,Gold,4.9,False,Satisfied
149,19,16,1180.8,Female,30,New York,Gold,4.7,True,Satisfied
150,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
152,13,20,1470.5,Male,30,San Francisco,Gold,4.8,False,Satisfied
155,27,15,1140.6,Female,31,New York,Gold,4.6,True,Satisfied
156,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
158,10,21,1500.1,Male,28,San Francisco,Gold,4.9,False,Satisfied
161,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
162,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
164,10,18,1370.2,Male,29,San Francisco,Gold,4.7,False,Satisfied
167,22,14,1160.3,Female,32,New York,Gold,4.4,True,Satisfied
168,17,11,800.2,Male,34,Los Angeles,Silver,4.1,False,Neutral
170,12,20,1460.5,Male,30,San Francisco,Gold,4.8,False,Satisfied
173,26,15,1130.6,Female,31,New York,Gold,4.5,True,Satisfied
174,12,12,820.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
176,9,21,1490.1,Male,28,San Francisco,Gold,4.9,False,Satisfied
179,19,16,1180.8,Female,30,New York,Gold,4.7,True,Satisfied
180,15,11,790.2,Male,34,Los Angeles,Silver,4.0,False,Neutral
182,13,20,1470.5,Male,30,San Francisco,Gold,4.8,False,Satisfied
185,27,15,1140.6,Female,31,New York,Gold,4.6,True,Satisfied
186,13,12,810.9,Male,35,Los Angeles,Silver,4.3,False,Neutral
188,10,21,1500.1,Male,28,San Francisco,Gold,4.9,False,Satisfied
191,20,16,1190.8,Female,30,New York,Gold,4.5,True,Satisfied
192,14,13,830.75,Male,33,Los Angeles,Silver,4.2,False,Satisfied
194,10,18,1370.2,Male,29,San Francisco,Gold,4.7,False,Satisfied
