index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,rating_clean
59,"Baby Bed Protector - Sublimation Print, Pink",Baby Care,Baby Bath & Hygiene,Quick Dry,199.0,199.0,Baby Health,3.7,"These bed protectors for babies bed from Quick Dry are quick absorbent that makes it dry faster. It protects the baby against the dust mites, bacteria and allergens. This leakproof protector is soft, cosy and smooth. It can be easily washed in the washing machine. It comes in a variety of colours with attractive print designs and sizes.",3.7
100,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Baby Care,Diapers & Wipes,Huggies,1266.38,1398.0,Diapers,4.0,"Huggies knows that nothing is more important than the comfort and well-being of your little baby. Choosing the best diaper for your baby is an important step in ensuring the comfort of your little one during the day as well as overnight. That is why we have lovingly designed Huggies Wonder Pants for the all-round comfort of your little one. These diaper pants keep your baby comfortable in the day and help them sleep peacefully at night without any wetness irritating their skin. Their cottony-soft material is gentle on their bum keeping their precious skin perfect. And their revolutionary Dry Touch Sheet pulls the wetness away from the skin of your baby keeping it dry and hygienic for up to 12 hours. If you are looking for safe and gentle care for your little one, stock up your diaper bags and changing tables with Huggies Wonder Pants.",4.0
110,"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",Baby Care,Baby Food & Formula,Slurrp Farm,349.0,349.0,Baby Food,4.0,"Smooth easy-to-cook porridge mix made from Sprouted Ragi, Almond powder, Banana Powder and Cardamom Powder. We use Sprouted Ragi which has 3x the calcium of a glass of milk and 10 x the calcium of wheat and rice, great for growing bones. Almonds contain fibre, minerals and essential fatty acids. Fortified with 13 essential vitamins and minerals. Great for healthy weight gain for your little ones. No Added Sugar, No Added Salt, No Milk, No Preservatives & Artificial Flavours, 100% Natural and excellent early food for the little ones. If your little one is ready for new tastes, add some mashed fruits, vegetables or Slurrp Farm Jaggery.",4.0
166,Baby Napkins - Mini Terry,Baby Care,Feeding & Nursing,Mee Mee,179.0,179.0,Bibs & Napkins,4.3,All mee mee baby napkins are carefully made from cotton and other best quality fabric. It gives a cool comfortable feeling provides high absorbency for your baby cleansing needs. Machine wash. Soft fabrics for your babys tender skin. 100% cotton towelling. Size 9 x 9 suitable from birth.,4.3
174,Ultra Soft New Born Diapers - Extra Small,Baby Care,Diapers & Wipes,Huggies,699.0,999.0,Diapers,3.9,Huggies ultra soft pants are our softest diaper pants. The ultra-soft range is the very best from Huggies and features cotton-like softness to gently hug your baby. Every ultra-soft diaper pant is clinically proven to help prevent rashes.,3.9
220,Gentle Baby Wipes,Baby Care,Diapers & Wipes,Himalaya,699.0,699.0,Baby Wipes,4.1,"Infused with the goodness of Aloe Vera and Indian Lotus extracts, Gentle Baby Wipes are mild enough to soothe baby's bottoms during a diaper change. The wipes can also be used to gently cleanse baby's skin. The natural ingredients ensure that the baby remains bacteria-free throughout the day. Ideal for use when travelling.",4.1
283,Peristaltic Nipple - 'S' Hole,Baby Care,Feeding & Nursing,Pigeon Baby,99.0,99.0,Sippers & Bottles,,"This nipple is of perfect shape and size to fit into the sucking fossa of the baby. The inner vertical lines make it collapse-resistant and the textured surface allows the baby to latch on easily. It is 100% silicone nipple, super soft and flexible, allows natural and smooth tongue movement. The air ventilation system reduces intake of gas, which is the potential cause of colic.",
316,Silicone Feeding Nipple/Teat Regular Neck - Size XL,Baby Care,Feeding & Nursing,Vauva,150.0,150.0,Nursing Tools,,"Regual Neck Nipple with anti colic valves, it is recommended for the first days of baby's life. Different flow rates are also available.",
358,"Cereal - Ragi, Rice & Mango With Milk",Baby Care,Baby Food & Formula,Slurrp Farm,300.0,300.0,Organic Baby Food,4.0,"This cereal is made with Slurrp Farm's Organic Grain Blend consisting of Ragi, Jowar & Rice along with Oats, Organic Brown Sugar and Natural Mango Powder. This super healthy cereal will provide all the essential nutrients to your little ones.",4.0
368,New Dry Diapers - Medium,Baby Care,Diapers & Wipes,Huggies,388.88,425.0,Diapers,3.8,One of the most important baby care products that you buy for your baby is diapers. A good quality diaper can help keep your baby comfortable during play as well as sleep time. Choose Huggies New Dry Diapers - these diapers are highly absorbent and help in keeping your baby’s skin dry & fresh. These diapers are suitable for your baby’s skin to ensure uninterrupted play and nap time. Huggies New Dry is available in different sizes from Small to Large to suit your baby.,3.8
