index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,rating_clean
90,Sweet Corn Kernels - Chipotle,Fruits & Vegetables,Cuts & Sprouts,Supa Corn,55.0,55.0,Cut & Peeled Veggies,,"Ready To Eat Sweet Corn kernels, packaged using OXYFRESH Technology along with Chipotle masala sachet.",
116,Sapota - Organically Grown,Fruits & Vegetables,Fresh Fruits,Fresho,35.0,43.75,Organic Fruits,,"Brown skinned sapotas are smooth to grainy textured, musky-scented and deliciously sweet in taste. The flesh generally contains 2-3 large and inedible black seeds. Fresho sapotas are freshly plucked by our farmers who grow it organically and the best quality is delivered to you. Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1232/summer-fruit-salad/",
123,Cabbage - Red,Fruits & Vegetables,Fresh Vegetables,Fresho,23.0,28.75,Cabbage & Cauliflower,,"It is round, wrapped in purplish red leaf layers. The flavour is more peppery and bold compared to green ones.
Its leaves are coarser as they have less water content. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1561/violet-cabbage-walnut-salad/",
132,Banana - Red,Fruits & Vegetables,Fresh Fruits,Fresho,39.0,48.75,"Banana, Sapota & Papaya",,"Standing apart from the common varieties of yellow bananas, Red bananas are short, plump and reddish-purple in colour.
Even the flesh is light pink and sweeter compared to other varieties. They are high in nutrients and are freshly procured from the farmers. 
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1383/banana-ice-cream/",
133,"Chilli - Bajji, Mild",Fruits & Vegetables,Herbs & Seasonings,Fresho,14.0,17.5,"Lemon, Ginger & Garlic",,"Fresho is our brand of fresh fruits and vegetables which are individually handpicked every day by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient-dense, healthy and delicious produce reaches your doorstep. We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund. Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",
181,Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,Fruits & Vegetables,Herbs & Seasonings,Fresho,81.06,109.38,Indian & Exotic Herbs,,"Coriander leaves are green, fragile with a decorative appearance. They contain minimal aroma and have a spicy-sweet taste. Now do not bother wasting time cutting off the roots as we value your money and time and provide you with the freshest leafy edible parts.Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/33/green-chutney/ Garlic is made of several heads wrapped in thin whitish layers. They are firm and have a mild flavour. Once crushed, they emit a strong and pungent aroma.Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/819/pull-apart-cheese-garlic-bread/ Firm and fibrous ginger roots are stretched with multiple fingers that have light to dark tan skin and rings on it and is aromatic, spicy and pungent. The flavour gets intensified when the ginger is dried and lessens when cooked.Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/232/chinese-white-sauce/ Green chillis are the best kitchen ingredient to bring a dash of spiciness to recipes. The fresh flavour and sharp bite make them a must in almost all Indian dishes. This particular green chilli variety is big.",
197,Kale,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,10.0,12.5,Organic Vegetables,,"Kale is a crisp and hearty vegetable, with a hint of earthiness. Kale is considered a superfood (meaning it is nutrient-dense while being very low in calories) and packs more nutrition than almost any other whole food.1? Like other dark green leafy vegetables, kale is high in calcium, beta-carotene, and vitamin C, but surpasses other greens with its skyrocketing levels of vitamins A and K.",
215,"Brinjal - Varikatri, Organically Grown",Fruits & Vegetables,Fresh Vegetables,Fresho,10.0,12.5,Organic Vegetables,,"It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
221,Avocado,Fruits & Vegetables,Fresh Fruits,Fresho,105.0,131.25,Exotic Fruits,,"Avocado is an oval-shaped fruit with thick green and a bumpy, leathery outer skin. They have a unique texture, with a creamy and light green colored flesh that has a buttery flavour and a special aroma. Avocados are also known as alligator pear or butter fruit. These avocados delivered to you, will not just entice your taste buds but will also ensure your well being. The approximate weight of one avocado is around 300-500 g.",
223,"Pineapple - Chunks, Single Serve",Fruits & Vegetables,Fresh Fruits,Fresho,19.0,23.75,"Cut Fruit, Tender Coconut",,"Our uniformly and perfectly cut pineapple chunks are enriching sight to behold.
We have reduced a large effort for you by removing the pineapple's prickly exterior and cubed its sweet, juicy flesh into bite-sized chunks.
Consumed on the during travel or in your breaks. These are alternatives for your snacks. A
dd them to your meal to make it interesting. Spice it up with a pinch of salt and masala. 
Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/865/american-pineapple-upside-down-cake-egg-free/",
