index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct
27,Granola - Happy Berries,Snacks & Branded Foods,Breakfast Cereals,Fit & Flex,245.0,265.0,Granola & Cereal Bars,3.5,"Fit & Flex granola is not just crunchy and tasty, it is also incredibly great for you. It is the perfect start to your every morning and packs quite a nutritious punch. Easy to chew, amazingly high on flavour and delightfully caramelised just right, is how we describe Fit & Flex granola.",245.0,245.0,7.547169811320755
29,Paratha Puff,Snacks & Branded Foods,Frozen Veggies & Snacks,Switz,90.0,110.0,Frozen Veg Snacks,4.3,"Switz Puff Parathas are made with the highest quality ingredients through a specialized layering process that makes them fluffy and flaky. Made of wheat, these scrumptious parathas melt in the mouth, and will instantly become your new favourite. The buttery, soft parathas can easily be folded or cut into pieces, and tastes delicious with curries or just with tea. If you like laccha paratha or Malabar paratha, you will love the Switz Puff Paratha.It also serves as a versatile base for many snacks and dishes that can easily be made on a non-stick pan like mini rolls, quesadilla, Kathi rolls, paratha wraps, etc. You can even use it as a puff pastry by baking to make tarts, aloo/veg/ kheema puffs, cheese burst pizza, chicken pie, caramelized onions or mushroom mini bites, pinwheel bites, paratha twists, etc. With the Switz Puff Paratha, the only constraint is your imagination and creativity.",90.0,90.0,18.181818181818183
40,Choco Deck - Mini Delights,Snacks & Branded Foods,Chocolates & Candies,Fabelle,160.0,200.0,Chocolates,4.4,"Fabelle brings you Fabelle Choco Deck – Mini Delights, a pack of mini Milk Chocolate bars that will impress everyone, regardless of age. Perfect for gifting, it will make moments of celebration and bonding with friends and family even more special. Each bar is made of a layer of rich choco creme cradled between two layers of Milk Chocolate.
Experience an explosion of chocolate in your mouth as you first taste the sweetness from milk chocolate followed by the richness from the choco crème. Handcrafted by the Master Chocolatiers from the House of ITC, Fabelle gives you a dessert like an experience in a chocolate bar. Finding the perfect gift can be tricky so when in doubt, gift chocolate!",160.0,160.0,20.0
50,Super Hot and Sweet Mango Chutney,Snacks & Branded Foods,Pickles & Chutney,Spice Story,100.0,125.0,Chutney Powder,3.0,"From the Bylanes & Streets of Eastern UP, comes the inspiration of this Chutney. Originally the Khatta Meetha Aam ka Achar, this sauce will transport you back to your childhood.",100.0,100.0,20.0
54,Choco Deck - French Dessert Inspired Layered Bar,Snacks & Branded Foods,Chocolates & Candies,Fabelle,56.0,70.0,Chocolates,4.0,"Fabelle Choco Deck is a unique multi-layered chocolate experience with three irresistible layers of chocolate. Now introducing Fabelle Choco French Dessert Inspired Layered Bar where the bar is inspired from the French Dessert - Mille Feuille. The middle layer is made of soft choco creme, nuts and crisps cradled between two layers of Milk Chocolate thereby re-creating the iconic French dessert.Fabelle has reimagined the way chocolates are meant to look, feel and taste. Indulge your senses with Fabelle's range of premium chocolate bars available in a unique format.",56.0,56.0,20.0
57,Foochka,Snacks & Branded Foods,Ready To Cook & Eat,Shareat,60.0,60.0,"Papads, Ready To Fry",3.9,Unfried multigrain and hygienic Pani Puri Papad. We use high-quality grains for making the Puris made with an automatic machine from Italy. In 5 minutes you can make hygienic Pani puri at your home by using your choice of oil for frying.,60.0,60.0,0.0
64,Sugar Free Petit Beurre - The Taste of France,Snacks & Branded Foods,Biscuits & Cookies,Bisk Farm,35.0,35.0,"Marie, Health, Digestive",4.0,"Bisk Farm Sugar Free Petit Beurre is one of the best sugar free petit beurre for diabetic patients and for other health issues. They have a good flavor and these biscuits are made of salty, spice and sweet. It is hygienically baked and well packed in wrappers that makes them long lasting and remain fresh giving crispy taste. It is crispy and gives a superior taste.",35.0,35.0,0.0
81,Chips - Topica,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65.0,65.0,Chips & Corn Snacks,3.9,Made with Topica,65.0,65.0,0.0
94,Namkeen - Madras Mixture,Snacks & Branded Foods,Snacks & Namkeen,Townbus,15.0,10.0,Namkeen & Savoury Snacks,4.1,Townbus Savoury Snacks are made by combining the freshest of ingredients with a traditional recipie. These authentic snacks will take you down memory lane and remind you of the traditional snacks your grandma used to make with love. Townbus namkeens are perfect to relish with your evening tea or coffee. They can also be used in chaat for added flavour or to customise it as per your liking. Townbus every bite has a story.,10.0,15.0,0.0
105,Veda Marie Light Biscuits,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,30.0,30.0,"Marie, Health, Digestive",4.4,"Crispy Marie biscuits with the goodness of wheat fibre and 5 natural ingredients -Tusli, Ginger, Cardamom, Ashwagandha and Mulethi, making it the perfect partner for your cup of tea!",30.0,30.0,0.0
127,Instant Popcorn - Butter Delite,Snacks & Branded Foods,Snacks & Namkeen,ACT II,29.7,33.0,Chips & Corn Snacks,4.2,"Enhance your movie-watching experience, in the comfort of your own home with World’s No. 1 ACT II popcorn. ACT II popcorn is easy to make. In only 3 minutes, enjoy Hot n Fresh n delicious popcorn along with the delightful popcorn aroma. You can choose among different pack sizes such as individual packs, family packs and party packs, as per your need.
Relish your favourite ACT II popcorn, now available in various lip-smacking desi flavours such as butter, Sweet Pani Puri, Tandoori Tadka, Southern Spice, Butter pepper as well as international flavours such as Cheese Delite, Peri Peri, Thai Sweet Chilli and Tomato Chili.",29.7,29.7,10.000000000000002
