source,target,transferability_score,mmd,js_divergence,correlation_stability,ks_statistic,wasserstein,n_source,n_target,avg_price_source,avg_price_target
Cleaning & Household,"Foodgrains, Oil & Masala",0.9028497950334344,0.13577995929011594,0.17225065814786122,0.9665203251315357,0.14762644506381742,0.17734936147510916,2674,2676,225.56080777860885,191.35282511210758
Snacks & Branded Foods,"Bakery, Cakes & Dairy",0.9017849629259136,0.12495966364048619,0.17366019175423475,0.9523683474121869,0.15050314985422059,0.16710804990915853,2814,851,129.77943496801703,142.95721504112808
Cleaning & Household,Beverages,0.8990648069431498,0.10627807496383905,0.20116962618212927,0.9448725440248097,0.1424307730013649,0.1355110979494315,2674,885,225.56080777860885,238.57303954802262
Beauty & Hygiene,Gourmet & World Food,0.8957662228233847,0.1683655835251959,0.16787415549916032,0.9557536350166143,0.129827419585506,0.21938492459376224,7867,4690,396.1548239481378,309.6866460554371
Gourmet & World Food,Beverages,0.895143717462213,0.12507319481484486,0.20371562037033097,0.9570216080699868,0.1497155064066271,0.1694467865188195,4690,885,309.6866460554371,238.57303954802262
"Foodgrains, Oil & Masala",Snacks & Branded Foods,0.8935072859341906,0.1551931740726414,0.17212962230386752,0.9581815089673856,0.14400876250819358,0.2707385713957622,2676,2814,191.35282511210758,129.77943496801703
Beauty & Hygiene,Cleaning & Household,0.8913193123149654,0.14152716980774763,0.20252252955126768,0.9539118936000156,0.1297879129077381,0.2217277602018255,7867,2674,396.1548239481378,225.56080777860885
"Foodgrains, Oil & Masala","Bakery, Cakes & Dairy",0.8815625941049519,0.1669215711597863,0.19544496797436994,0.9597077547615264,0.17754442881173238,0.29103994039250025,2676,851,191.35282511210758,142.95721504112808
"Foodgrains, Oil & Masala",Beverages,0.8809169926887813,0.1499549123626206,0.216021096622483,0.9500275692569613,0.18345536385363093,0.209912019163371,2676,885,191.35282511210758,238.57303954802262
Cleaning & Household,Gourmet & World Food,0.8807452630385599,0.1418492722964787,0.22156345170662697,0.9488049163317746,0.1708339380137458,0.2343568169575961,2674,4690,225.56080777860885,309.6866460554371
Cleaning & Household,"Bakery, Cakes & Dairy",0.8751257783906496,0.18568960520772587,0.2026746106167289,0.9390685128949996,0.1655532479570722,0.25936531654217676,2674,851,225.56080777860885,142.95721504112808
Beauty & Hygiene,"Foodgrains, Oil & Masala",0.8740935797041571,0.18886119858981648,0.2197534875238395,0.9660274150556224,0.1778903493296533,0.2666757347964876,7867,2676,396.1548239481378,191.35282511210758
Cleaning & Household,Snacks & Branded Foods,0.8726034390598312,0.21073936989693653,0.2000683093930127,0.9576789916076784,0.18182274863528283,0.27707234635918415,2674,2814,225.56080777860885,129.77943496801703
Beauty & Hygiene,Beverages,0.8639703588179841,0.18143897909333778,0.2242181333588902,0.9218997364276313,0.18906648837296705,0.27393169898377767,7867,885,396.1548239481378,238.57303954802262
Gourmet & World Food,"Foodgrains, Oil & Masala",0.8634906133091473,0.2173554251685201,0.23126856916092484,0.9757861737037943,0.2129973132416075,0.2902509682545687,4690,2676,309.6866460554371,191.35282511210758
Snacks & Branded Foods,Beverages,0.8553289764875681,0.2340972579894569,0.2181306519219518,0.9659992150669614,0.21759764534872048,0.4122283772461857,2814,885,129.77943496801703,238.57303954802262
Beauty & Hygiene,Baby Care,0.8493202739147898,0.19948237188835632,0.2420015560929949,0.9109844971284085,0.22047009677972804,0.30839623458415794,7867,610,396.1548239481378,530.0819508196721
Beauty & Hygiene,"Kitchen, Garden & Pets",0.8460851392886102,0.2381455525341352,0.22861426332012313,0.9278760032588679,0.21781912469857945,0.3775822273960183,7867,3580,396.1548239481378,472.37244413407825
Gourmet & World Food,"Bakery, Cakes & Dairy",0.8421314776680578,0.2597972294449684,0.2547297582662171,0.9453512007338316,0.21935329229294187,0.31712957059980923,4690,851,309.6866460554371,142.95721504112808
Gourmet & World Food,Snacks & Branded Foods,0.8415951305605505,0.2765217824646405,0.2591435296512385,0.9489154873918766,0.212106135986733,0.2760031795005968,4690,2814,309.6866460554371,129.77943496801703
Beverages,"Bakery, Cakes & Dairy",0.8413184310866714,0.2272554449510516,0.25472725775504185,0.9294019487143467,0.25134095038295484,0.3195269262541598,885,851,238.57303954802262,142.95721504112808
Gourmet & World Food,Baby Care,0.8410648635659743,0.17456655394821238,0.28786735567710026,0.9164845777879035,0.20892726065224232,0.3764668013233967,4690,610,309.6866460554371,530.0819508196721
Beauty & Hygiene,"Bakery, Cakes & Dairy",0.8227179015293405,0.2877143529921962,0.2746141360277777,0.9351609879055152,0.2531859098364202,0.3998431857508355,7867,851,396.1548239481378,142.95721504112808
Cleaning & Household,Baby Care,0.8201412053663394,0.21478076147086472,0.25086596147575285,0.8735010958671804,0.24322130534472822,0.5986751929256856,2674,610,225.56080777860885,530.0819508196721
Beauty & Hygiene,Snacks & Branded Foods,0.8159480455667406,0.31347154505116137,0.273637332720298,0.9261991783244066,0.2611366316347828,0.3982254674126931,7867,2814,396.1548239481378,129.77943496801703
"Kitchen, Garden & Pets",Cleaning & Household,0.813458082041284,0.3387702581400347,0.2696851033100987,0.9653265025331179,0.2934619739849492,0.4710990012962794,3580,2674,472.37244413407825,225.56080777860885
Beverages,Baby Care,0.8116183883802746,0.22482308491522973,0.29075314967128696,0.8772647536592462,0.21968448025686146,0.5966757409580307,885,610,238.57303954802262,530.0819508196721
"Kitchen, Garden & Pets",Gourmet & World Food,0.7851691251786787,0.3817808718179613,0.30536162411948037,0.9309206394497368,0.33468690069207035,0.4878850808809659,3580,4690,472.37244413407825,309.6866460554371
"Kitchen, Garden & Pets",Baby Care,0.7778291220657353,0.3585932616553606,0.29925313190965847,0.8516938132002905,0.31440150196904476,0.4700477322063093,3580,610,472.37244413407825,530.0819508196721
"Foodgrains, Oil & Masala",Baby Care,0.7724010665615277,0.30247699645600706,0.3348329506615922,0.9039951386360476,0.3302363857645781,0.7746522108804963,2676,610,191.35282511210758,530.0819508196721
"Kitchen, Garden & Pets","Foodgrains, Oil & Masala",0.7714561080556941,0.38562484033351935,0.33695278258981515,0.9386885107785987,0.3757908771812622,0.5395992735215941,3580,2676,472.37244413407825,191.35282511210758
"Kitchen, Garden & Pets",Beverages,0.7614440372433432,0.41181608084895605,0.3627344310669825,0.9450902259175159,0.3767314753442961,0.542988769808348,3580,885,472.37244413407825,238.57303954802262
Snacks & Branded Foods,Baby Care,0.7441744062720299,0.35704037847689263,0.33191790140580735,0.8699147227238014,0.3039148519696599,1.0791102298171278,2814,610,129.77943496801703,530.0819508196721
"Kitchen, Garden & Pets","Bakery, Cakes & Dairy",0.7438857730365759,0.47492228802956404,0.3510698485346251,0.9088318818514198,0.3693048161107428,0.6014251836760761,3580,851,472.37244413407825,142.95721504112808
"Bakery, Cakes & Dairy",Baby Care,0.7414401064879641,0.30900122398005986,0.3496610759512848,0.8941319373832624,0.34370685724926636,1.2305022415885998,851,610,142.95721504112808,530.0819508196721
"Kitchen, Garden & Pets",Snacks & Branded Foods,0.7253579037818019,0.5114269290080179,0.390189042955493,0.9439285423977836,0.4423387187499586,0.6429391901496523,3580,2814,472.37244413407825,129.77943496801703
Beauty & Hygiene,"Eggs, Meat & Fish",0.6754873897565202,0.7555017842695912,0.4285531973369983,0.9648071428971169,0.4185453400884951,0.7253678646525114,7867,350,396.1548239481378,288.8974857142857
Beverages,"Eggs, Meat & Fish",0.6639050111388809,0.7543519626268271,0.4358652148851328,0.955428571877903,0.42728006456820017,0.8694959919780358,885,350,238.57303954802262,288.8974857142857
"Bakery, Cakes & Dairy","Eggs, Meat & Fish",0.6608171815338748,0.5969854565158441,0.4724730458450545,0.9460662234619768,0.4943248838901013,1.1274571683594796,851,350,142.95721504112808,288.8974857142857
Baby Care,"Eggs, Meat & Fish",0.6593062163836552,0.6974808868859758,0.4674803844845803,0.9094691131664574,0.4460889929742389,0.780989112520432,610,350,530.0819508196721,288.8974857142857
"Kitchen, Garden & Pets","Eggs, Meat & Fish",0.642366378338895,0.7486360509745876,0.48293467325342343,0.9402891684087962,0.5229449321628092,0.8330396978534926,3580,350,472.37244413407825,288.8974857142857
Snacks & Branded Foods,Fruits & Vegetables,0.5481910817291286,0.9158954470760885,0.5960701730573645,0.9638010438060052,0.7260774438485523,1.2532427228912122,2814,557,129.77943496801703,51.31822262118492
"Bakery, Cakes & Dairy",Fruits & Vegetables,0.5445318826079693,0.8662422790169478,0.6143468995577784,0.9473435598282658,0.7275391854269381,1.3400757419515912,851,557,142.95721504112808,51.31822262118492
Cleaning & Household,Fruits & Vegetables,0.5435561456569141,0.915087621111695,0.6412055976052436,0.9678565636265728,0.7340363819961891,1.123395915458479,2674,557,225.56080777860885,51.31822262118492
Beverages,Fruits & Vegetables,0.5214103188559388,0.9547668378874805,0.6533449487867281,0.9656130364783478,0.7636423265611105,1.2985524391325718,885,557,238.57303954802262,51.31822262118492
Baby Care,Fruits & Vegetables,0.4908220087532028,0.933336304362062,0.7081498118521218,0.8968878732984088,0.8220462862132226,1.319592621175309,610,557,530.0819508196721,51.31822262118492
Beauty & Hygiene,Fruits & Vegetables,,0.9180660703158154,0.6625463479039299,,0.7334233395611984,1.024973490533923,7867,557,396.1548239481378,51.31822262118492
"Kitchen, Garden & Pets",Fruits & Vegetables,,0.8690876221084469,0.6813026237363303,,0.7074638342544022,0.9351238826963151,3580,557,472.37244413407825,51.31822262118492
Cleaning & Household,"Eggs, Meat & Fish",,0.7016074660054651,0.44390356354992244,,0.45233108950386436,0.7595056757298564,2674,350,225.56080777860885,288.8974857142857
Gourmet & World Food,Fruits & Vegetables,,0.9484222208352869,0.6808220695268364,,0.7965191993354591,1.2492342495330184,4690,557,309.6866460554371,51.31822262118492
Gourmet & World Food,"Eggs, Meat & Fish",,0.7468780037678006,0.4035750890507978,,0.3805828002842928,0.7133298364334527,4690,350,309.6866460554371,288.8974857142857
"Foodgrains, Oil & Masala",Fruits & Vegetables,,0.9547690401892769,0.6166811887306057,,0.7112643897167813,1.3601664806363567,2676,557,191.35282511210758,51.31822262118492
"Foodgrains, Oil & Masala","Eggs, Meat & Fish",,0.7658511756180039,0.4850458692529315,,0.5365876574845185,1.1382538719740363,2676,350,191.35282511210758,288.8974857142857
Snacks & Branded Foods,"Eggs, Meat & Fish",,0.6691879052718909,0.49243256971445143,,0.5440085287846482,1.0988055930166327,2814,350,129.77943496801703,288.8974857142857
