customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
C01500,32,4,968.0,2,1,2,212
C01501,6,12,7609.7,4,4,5,445
C01502,2,17,5756.96,5,5,5,555
C01503,16,8,2483.0,3,2,4,324
C01504,21,9,11090.0,2,3,5,235
C01505,16,8,665.6,3,2,1,321
C01506,19,9,5429.1,3,3,5,335
C01507,3,7,2080.08,5,2,3,523
C01508,3,11,5290.0,5,3,5,535
C01509,6,9,1576.65,4,3,2,432
C01510,21,12,2380.0,2,4,3,243
C01511,26,13,4324.42,2,4,5,245
C01512,11,6,1476.0,4,1,2,412
C01513,3,3,284.0,5,1,1,511
C01514,24,15,2111.6,2,5,3,253
C01515,88,3,184.5,1,1,1,111
C01516,5,13,1430.84,5,4,2,542
C01517,8,6,408.0,4,1,1,411
C01518,10,7,816.8,4,2,1,421
C01519,13,14,3389.75,3,4,4,344
C01520,29,7,735.0,2,2,1,221
C01521,17,14,4092.6,3,4,5,345
C01522,41,12,2283.0,1,4,3,143
C01523,23,9,1735.22,2,3,3,233
C01524,40,7,2396.75,1,2,3,123
C01525,93,2,695.0,1,1,1,111
C01526,2,6,791.95,5,1,1,511
C01527,13,11,4443.0,3,3,5,335
C01528,9,9,1892.12,4,3,3,433
C01529,84,2,946.0,1,1,2,112
C01530,35,5,912.0,1,1,2,112
C01531,20,7,1160.0,3,2,2,322
C01532,25,6,862.0,2,1,1,211
C01533,7,19,3767.02,4,5,5,455
C01534,20,12,3133.1800000000003,3,4,4,344
C01535,71,7,1208.4,1,2,2,122
C01536,3,7,3984.2700000000013,5,2,5,525
C01537,13,7,3505.0,3,2,4,324
C01538,3,13,1803.79,5,4,3,543
C01539,4,14,5471.0,5,4,5,545
C01540,56,10,1435.8,1,3,2,132
C01541,13,19,4498.15,3,5,5,355
C01542,9,8,1156.5,4,2,2,422
C01543,26,11,2343.25,2,3,3,233
C01544,76,3,530.0,1,1,1,111
C01545,21,6,1501.2,2,1,2,212
C01546,19,12,3491.0,3,4,4,344
C01547,20,13,2751.0,3,4,4,344
C01548,80,3,384.75,1,1,1,111
C01549,64,6,1055.5,1,1,2,112
C01550,17,8,9164.37,3,2,5,325
C01551,13,9,1693.3,3,3,3,333
C01552,59,9,1205.05,1,3,2,132
C01553,3,15,2335.85,5,5,3,553
C01554,22,3,1492.0,2,1,2,212
C01555,41,3,693.0,1,1,1,111
C01556,33,13,2520.0,2,4,4,244
C01557,8,11,1397.0,4,3,2,432
C01558,55,5,1727.0,1,1,3,113
C01559,33,6,1115.2,2,1,2,212
C01560,11,8,5105.0,4,2,5,425
C01561,20,9,1879.34,3,3,3,333
C01562,16,15,3250.4,3,5,4,354
C01563,65,6,529.5,1,1,1,111
C01564,31,8,1074.95,2,2,2,222
C01565,3,9,1368.08,5,3,2,532
C01566,9,15,7231.21,4,5,5,455
C01567,5,10,2761.3,5,3,4,534
C01568,3,17,2467.0,5,5,3,553
C01569,4,3,289.05,5,1,1,511
C01570,11,9,994.25,4,3,2,432
C01571,13,12,2617.75,3,4,4,344
C01572,13,13,2217.5,3,4,3,343
C01573,64,3,640.65,1,1,1,111
C01574,2,6,804.8,5,1,1,511
C01575,20,11,2554.82,3,3,4,334
C01576,41,9,2523.95,1,3,4,134
C01577,34,7,2407.0,2,2,3,223
C01578,5,16,2916.52,5,5,4,554
C01579,2,15,3178.95,5,5,4,554
C01580,42,8,1946.25,1,2,3,123
C01581,41,10,809.2,1,3,1,131
C01582,31,11,2188.85,2,3,3,233
C01583,11,13,9575.0,4,4,5,445
C01584,46,15,2072.5299999999997,1,5,3,153
C01585,4,15,1842.66,5,5,3,553
C01586,46,14,4161.6,1,4,5,145
C01587,22,10,3540.0,2,3,4,234
C01588,33,13,5091.88,2,4,5,245
C01589,41,18,5264.21,1,5,5,155
C01590,13,9,2939.76,3,3,4,334
C01591,43,6,668.4,1,1,1,111
C01592,9,10,974.0,4,3,2,432
C01593,27,8,1165.0,2,2,2,222
C01594,37,4,3730.06,1,1,4,114
C01595,12,5,843.2,3,1,1,311
C01596,4,13,917.0,5,4,2,542
C01597,27,4,1093.5,2,1,2,212
C01598,4,7,1031.0,5,2,2,522
C01599,16,13,4037.15,3,4,5,345
C01600,3,9,3183.0,5,3,4,534
C01601,38,10,2036.26,1,3,3,133
C01602,24,10,2690.0,2,3,4,234
C01603,28,10,988.8,2,3,2,232
C01604,60,6,825.0,1,1,1,111
C01605,22,9,2047.9,2,3,3,233
C01606,12,8,2216.3,3,2,3,323
C01607,24,3,438.7,2,1,1,211
C01608,2,7,472.4,5,2,1,521
C01609,12,18,3821.15,3,5,5,355
C01610,21,15,2775.05,2,5,4,254
C01611,20,12,1646.78,3,4,3,343
C01612,3,15,2108.9,5,5,3,553
C01613,10,8,2872.0,4,2,4,424
C01614,11,7,2720.69,4,2,4,424
C01615,10,11,2944.0,4,3,4,434
C01616,6,13,6666.470000000001,4,4,5,445
C01617,6,8,1534.0,4,2,2,422
C01618,7,17,2290.43,4,5,3,453
C01619,12,13,616.0,3,4,1,341
C01620,10,17,4055.9,4,5,5,455
C01621,27,16,2778.63,2,5,4,254
C01622,50,8,2108.8,1,2,3,123
C01623,13,15,4547.05,3,5,5,355
C01624,89,1,167.2,1,1,1,111
C01625,25,8,1578.5,2,2,2,222
C01626,4,7,3196.0,5,2,4,524
C01627,80,7,3758.420000000001,1,2,4,124
C01628,3,18,3288.05,5,5,4,554
C01629,12,14,4125.22,3,4,5,345
C01630,8,8,1183.25,4,2,2,422
C01631,17,11,4198.43,3,3,5,335
