transaction_id,customer_id,product_id,category,sub_category,brand,date,quantity,unit_price,total_price,brand_premium_index,price_retention
T0000001,C09000,Jasmine Heart Bath Personal Care Gift Set,Beauty & Hygiene,Bath & Hand Wash,Soulflower,2024-06-25,1,1600.0,1600.0,520.2410714285714,0.8
T0000002,C09000,Rose Heart Bath & Personal Care Gift Set,Beauty & Hygiene,Bath & Hand Wash,Soulflower,2024-04-26,1,1400.0,1400.0,520.2410714285714,0.7
T0000003,C09000,Rose Hexagon Bath Gift Set - 100% Natural & Organic,Beauty & Hygiene,Bath & Hand Wash,Soulflower,2024-06-27,1,1050.0,1050.0,520.2410714285714,0.7
T0000004,C09000,Rapid Wrinkle Repair Day Cream,Beauty & Hygiene,Skin Care,Neutrogena,2024-06-04,1,1125.0,1125.0,575.9583333333334,0.9
T0000005,C09000,Jasmine Heart Bath Personal Care Gift Set,Beauty & Hygiene,Bath & Hand Wash,Soulflower,2024-03-25,1,1600.0,1600.0,520.2410714285714,0.8
T0000006,C09000,Hydro Boost Water Gel,Beauty & Hygiene,Skin Care,Neutrogena,2024-06-28,2,1000.0,2000.0,575.9583333333334,1.0
T0000007,C09000,Herbal Kumkumadi Night Beauty Elixir With Precious Oils Of Saffron & Almond,Beauty & Hygiene,Skin Care,Soulflower,2024-03-19,1,1350.0,1350.0,520.2410714285714,0.75
T0000008,C09000,Rapid Wrinkle Repair Night Cream,Beauty & Hygiene,Skin Care,Neutrogena,2024-02-03,1,1125.0,1125.0,575.9583333333334,0.9
T0000009,C09001,Avocado Oil,Beauty & Hygiene,Skin Care,ST. D'VENCE,2024-01-20,1,899.0,899.0,454.27272727272725,1.0
T0000010,C09001,Argan Oil,Beauty & Hygiene,Skin Care,ST. D'VENCE,2024-03-06,1,1299.0,1299.0,454.27272727272725,1.0
T0000011,C09001,Avocado Oil,Beauty & Hygiene,Skin Care,ST. D'VENCE,2024-06-10,1,899.0,899.0,454.27272727272725,1.0
T0000012,C09001,Avocado Oil,Beauty & Hygiene,Skin Care,ST. D'VENCE,2024-06-21,1,899.0,899.0,454.27272727272725,1.0
T0000013,C09001,Whey Protein Powder - Vanilla,Beauty & Hygiene,Health & Medicine,FITWHEY,2024-02-16,1,2399.470000000001,2399.470000000001,2399.470000000001,0.4066898305084748
T0000014,C09001,Whey Protein Powder - Vanilla,Beauty & Hygiene,Health & Medicine,FITWHEY,2024-02-06,1,2399.470000000001,2399.470000000001,2399.470000000001,0.4066898305084748
T0000015,C09001,Avocado Oil,Beauty & Hygiene,Skin Care,ST. D'VENCE,2024-01-19,1,899.0,899.0,454.27272727272725,1.0
T0000016,C09001,Argan Oil,Beauty & Hygiene,Skin Care,ST. D'VENCE,2024-04-08,2,1299.0,2598.0,454.27272727272725,1.0
T0000017,C09001,Avocado Oil,Beauty & Hygiene,Skin Care,ST. D'VENCE,2024-04-16,1,899.0,899.0,454.27272727272725,1.0
T0000018,C09002,Perfume Spray - Gold,Beauty & Hygiene,Fragrances & Deos,Royal Mirage,2024-05-14,1,1140.0,1140.0,957.8571428571428,0.95
T0000019,C09002,Hair Removing Cream Rose Mist,Beauty & Hygiene,Feminine Hygiene,Dimples,2024-04-05,1,875.0,875.0,983.3333333333334,1.0
T0000020,C09002,Mango Seed Moisturising Butter,Beauty & Hygiene,Skin Care,The Face Shop,2024-06-29,2,1854.3,3708.6,833.1990909090908,0.7
T0000021,C09002,Calendula Essential Moisture Emulsion,Beauty & Hygiene,Skin Care,The Face Shop,2024-06-21,2,976.0,1952.0,833.1990909090908,0.8
T0000022,C09002,Original Set,Beauty & Hygiene,Fragrances & Deos,Zippo,2024-03-06,1,1925.0,1925.0,1693.75,0.5
T0000023,C09002,Everyday Ritual Set,Beauty & Hygiene,Bath & Hand Wash,BodyHerbals,2024-03-10,2,1499.0,2998.0,635.972972972973,1.0
T0000024,C09002,Natural Spray Perfume - Shalis For Men,Beauty & Hygiene,Fragrances & Deos,Remy Marquis,2024-04-20,1,2399.470000000001,2399.470000000001,1437.2350000000006,0.7998233333333338
T0000025,C09002,Calendula Essential Moisture Emulsion,Beauty & Hygiene,Skin Care,The Face Shop,2024-05-07,1,976.0,976.0,833.1990909090908,0.8
T0000026,C09002,Miss Diva Showstopper Gift Set,Beauty & Hygiene,Fragrances & Deos,All Good Scents,2024-04-26,1,1043.0,1043.0,925.9916666666668,0.7
T0000027,C09002,Green Natural Seed Antioxidant Toner,Beauty & Hygiene,Skin Care,The Face Shop,2024-02-25,1,1432.5,1432.5,833.1990909090908,0.75
