transaction_id,customer_id,product_id,category,sub_category,brand,date,quantity,unit_price,total_price,brand_premium_index,price_retention
T0000001,C10500,Toothpaste - Fresh Attraction Nature Boost Gel,Beauty & Hygiene,Oral Care,Closeup,2024-06-15,1,50.0,50.0,164.83333333333334,1.0
T0000002,C10500,Aqua Blast Perfume Spray,Beauty & Hygiene,Fragrances & Deos,Set Wet,2024-05-28,1,49.0,49.0,154.22945454545453,1.0
T0000003,C10500,Intense Oil Clear Lemon Face Wash,Beauty & Hygiene,Skin Care,Himalaya Men,2024-04-10,1,112.0,112.0,96.81052631578947,0.7
T0000004,C10500,Hajmola Maha Candy - Aam+Imli,Beauty & Hygiene,Health & Medicine,Dabur,2024-04-18,1,117.0,117.0,189.05505263157892,0.9
T0000005,C10500,High Flyer Deodorant Body Spray For Men,Beauty & Hygiene,Fragrances & Deos,Spinz,2024-02-25,2,120.0,240.0,134.43,0.6
T0000006,C10500,Cough Drops - Ginger,Beauty & Hygiene,Health & Medicine,Vicks,2024-04-06,1,20.0,20.0,62.525,1.0
T0000007,C10500,Comb - Derby Deluxe No 05,Beauty & Hygiene,Hair Care,Ego of Paris,2024-04-28,2,15.0,30.0,30.714285714285715,1.0
T0000008,C10500,Ultra Absorbent Disposable Period Panties For Sanitary Protection - M-L,Beauty & Hygiene,Feminine Hygiene,EverEve,2024-05-07,2,50.0,100.0,50.0,0.5
T0000009,C10501,Go Fresh Moisture Bathing Bar Soap,Beauty & Hygiene,Bath & Hand Wash,Dove,2024-03-08,1,50.0,50.0,198.32333333333327,1.0
T0000010,C10501,Hydro Replenish Gentle Cleansing Wet Face Wipes,Beauty & Hygiene,Skin Care,Kaya Youth,2024-05-13,1,75.0,75.0,169.2578947368421,1.0
T0000011,C10501,Hair Fruits Hair Dryness Control Conditioning Shampoo,Beauty & Hygiene,Hair Care,Joy,2024-06-23,1,128.0,128.0,142.73857142857145,0.8
T0000012,C10501,Cold Balm,Beauty & Hygiene,Health & Medicine,Himalaya Wellness,2024-04-04,1,36.0,36.0,94.35235294117648,0.9
T0000013,C10501,Gold Creme Skin Bleach - Golden Glow,Beauty & Hygiene,Skin Care,Fem,2024-04-05,1,48.75,48.75,60.42238095238095,0.75
T0000014,C10501,FEMIPLEX Tablet - A Safe & Effective Approach For Recurrent Vaginitis,Beauty & Hygiene,Health & Medicine,Charak,2024-05-30,1,121.0,121.0,157.11111111111111,1.0
T0000015,C10501,Deodorant Spray For Men - Rush,Beauty & Hygiene,Fragrances & Deos,Kamasutra,2024-01-23,1,126.0,126.0,160.02818181818182,0.6
T0000016,C10501,"ON 2-In-1 Pocket Perfume - Man, Work & Party",Beauty & Hygiene,Fragrances & Deos,Engage,2024-02-08,2,76.5,153.0,238.53446428571428,0.85
T0000017,C10501,Giloy Ki Ghanvati,Beauty & Hygiene,Health & Medicine,Dabur,2024-02-19,1,90.0,90.0,189.05505263157892,1.0
T0000018,C10501,Refresh Body Lotion,Beauty & Hygiene,Skin Care,Parachute Advansed,2024-06-26,1,90.0,90.0,106.0,1.0
T0000019,C10502,India's No-1 Fluoride Free Toothpaste,Beauty & Hygiene,Oral Care,Dabur Meswak,2024-03-12,1,55.0,55.0,121.32,1.0
T0000020,C10502,Ayurvedic Prickly Heat Powder - Cologne Cool,Beauty & Hygiene,Men's Grooming,Shower To Shower,2024-03-03,1,88.0,88.0,71.2,0.8
T0000021,C10502,"Fairness Cream - With Saffron, Aloe Vera & Turmeric Extracts",Beauty & Hygiene,Skin Care,Vaadi,2024-04-22,1,61.2,61.2,159.50322580645164,0.9
T0000022,C10502,Hingoli - Gas Par Asar Zabardast,Beauty & Hygiene,Health & Medicine,Dabur,2024-01-06,1,25.0,25.0,189.05505263157892,1.0
T0000023,C10502,Almond Body Wash Soap,Beauty & Hygiene,Bath & Hand Wash,Meghdoot,2024-01-31,2,70.0,140.0,173.25,1.0
T0000024,C10502,Indukantham Kwath,Beauty & Hygiene,Health & Medicine,Kerala Ayurveda,2024-04-25,1,110.0,110.0,270.7352941176471,1.0
T0000025,C10502,London Rose Deodorant Roll On Antiperspirant - For Women,Beauty & Hygiene,Fragrances & Deos,Yardley London,2024-06-17,2,122.5,245.0,309.24122807017545,0.7
T0000026,C10502,Brahma Rasayana - Anti Ageing & Nervine Tonic,Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,2024-06-12,1,130.0,130.0,127.6686046511628,1.0
T0000027,C10502,"Sport Deo Spray - Fresh, for Men",Beauty & Hygiene,Fragrances & Deos,Engage,2024-06-03,1,112.75,112.75,238.53446428571428,0.55
T0000028,C10502,Pure Aloe Vera Gel,Beauty & Hygiene,Skin Care,Jeva,2024-04-01,1,107.0,107.0,346.175,0.7133333333333334
T0000029,C10503,Almond & Rose Soap,Beauty & Hygiene,Bath & Hand Wash,Himalaya,2024-06-28,1,92.65,92.65,170.1270093457944,0.8500000000000001
T0000030,C10503,Shower Gel - Lemongrass & Jojoba,Beauty & Hygiene,Bath & Hand Wash,Fiama,2024-05-29,1,55.0,55.0,164.85658536585365,1.0
T0000031,C10503,Prickly Heat Powder - Sandal,Beauty & Hygiene,Bath & Hand Wash,Dermi Cool,2024-04-15,1,20.0,20.0,97.6,1.0
T0000032,C10503,Nomarks - Antimarks Soap For Oily Skin,Beauty & Hygiene,Bath & Hand Wash,Bajaj,2024-01-16,1,40.0,40.0,101.90333333333334,1.0
T0000033,C10503,Bhumyalakki Tablets,Beauty & Hygiene,Health & Medicine,Muniyal Ayurveda,2024-02-23,1,120.0,120.0,149.6875,1.0
T0000034,C10503,"Body Bath Loofah/Sponge/Scrubber - Soft, Hangable - Cream, BH005CRM",Beauty & Hygiene,Bath & Hand Wash,BB Home,2024-02-23,1,65.0,65.0,126.10106382978724,0.6842105263157895
T0000035,C10503,Avacado Fairness Facial Sheet Mask EX,Beauty & Hygiene,Skin Care,Mirabelle,2024-04-04,1,77.35,77.35,161.1932,0.6499999999999999
T0000036,C10503,Shatavari Tablet,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,2024-01-27,1,53.0,53.0,133.2,1.0
T0000037,C10504,Fruit Salt - Lemon Flavor,Beauty & Hygiene,Health & Medicine,Eno ,2024-06-17,1,15.0,15.0,78.5,1.6666666666666667
T0000038,C10504,"Pain-X Body Pain Relief Gel For Muscle, Joints, Knee, Neck & Back Pain",Beauty & Hygiene,Health & Medicine,Dr. Morepen,2024-04-16,1,70.5,70.5,173.5786666666667,0.94
T0000039,C10504,Livon Syrup - Strengthens & Detoxifies The Liver,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,2024-06-22,1,90.0,90.0,133.2,1.0
T0000040,C10504,Prickly Heat Powder - Sandal,Beauty & Hygiene,Bath & Hand Wash,Dermi Cool,2024-03-03,1,20.0,20.0,97.6,1.0
T0000041,C10504,"Total Face Cleanup Women Face Wash, Face Scrub & Face Pack",Beauty & Hygiene,Skin Care,Nivea,2024-05-01,2,115.2,230.4,211.1883908045977,0.96
T0000042,C10504,360 Degree Visible White Medium Bristle Toothbrush,Beauty & Hygiene,Oral Care,Colgate,2024-01-17,1,85.5,85.5,151.35196261682242,0.9
T0000043,C10504,"Sanitary Pads - Secure Xl Ultra-Thin, with Wings",Beauty & Hygiene,Feminine Hygiene,STAYFREE,2024-03-20,1,66.0,66.0,173.66947368421052,1.0
T0000044,C10504,"Tonic - Digestive, Pancharishta",Beauty & Hygiene,Health & Medicine,Zandu,2024-01-23,1,132.0,132.0,313.77777777777777,1.0
T0000045,C10505,Fair Glow Soap,Beauty & Hygiene,Bath & Hand Wash,Godrej,2024-05-12,1,85.5,85.5,55.28,0.95
T0000046,C10505,Wipeout Sanitizing Wipes,Beauty & Hygiene,Bath & Hand Wash,MyGlamm,2024-04-26,1,127.2,127.2,128.2888888888889,0.8
T0000047,C10505,Antiplaque Criss-Cross Tooth Brush - Medium,Beauty & Hygiene,Oral Care,Oral-B,2024-02-06,1,90.0,90.0,348.33562500000005,0.6923076923076923
T0000048,C10505,Hand Sanitizer - Tea Tree,Beauty & Hygiene,Bath & Hand Wash,Organic Harvest,2024-03-08,1,84.15,84.15,481.1122222222222,0.8500000000000001
T0000049,C10505,Total Moisture - Cocoa Glow (24 hr Nourishing Lotion),Beauty & Hygiene,Skin Care,Vaseline,2024-03-15,1,47.04,47.04,195.9,0.96
T0000050,C10505,Talisadi Churna - Digestive & Respiratory Disturbances,Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,2024-05-12,1,65.0,65.0,127.6686046511628,1.0
T0000051,C10505,PIGMENTO Tablets - A Natural Therapy For Vitiligo,Beauty & Hygiene,Health & Medicine,Charak,2024-05-12,1,130.0,130.0,157.11111111111111,1.0
T0000052,C10505,Fairness Naturals Hair Removal Cream Fair & Soft Gold - All Skin Types,Beauty & Hygiene,Feminine Hygiene,Fem,2024-03-25,2,45.0,90.0,60.42238095238095,1.0
T0000053,C10505,Wet Look Styling Hair Gel,Beauty & Hygiene,Men's Grooming,Set Wet,2024-06-27,1,40.0,40.0,154.22945454545453,0.8
T0000054,C10505,Shanti Amla Oil,Beauty & Hygiene,Hair Care,Nihar,2024-04-09,1,46.75,46.75,68.3125,0.85
T0000055,C10505,"Body Bath Loofah/Sponge/Scrubber - Soft, Hangable - Cream, BH005CRM",Beauty & Hygiene,Bath & Hand Wash,BB Home,2024-03-19,1,65.0,65.0,126.10106382978724,0.6842105263157895
T0000056,C10505,Arjun Chhal Churna,Beauty & Hygiene,Health & Medicine,Dabur,2024-04-29,1,80.0,80.0,189.05505263157892,1.0
T0000057,C10505,Face Mask 5 Layer In Multicolor Without Valve,Beauty & Hygiene,Health & Medicine,Care 4 All,2024-04-23,1,99.0,99.0,134.33333333333334,0.3311036789297659
T0000058,C10505,Condoms - Chocolate Flavored Dotted & Colored,Beauty & Hygiene,Health & Medicine,Skore,2024-01-30,1,90.0,90.0,257.01740740740746,1.0
T0000059,C10506,Pure Hands Tulsi Soap,Beauty & Hygiene,Bath & Hand Wash,Himalaya,2024-05-31,1,30.8,30.8,170.1270093457944,0.88
T0000060,C10506,Pure Hands Moisturizing Hand Wash -  Tulsi & Aloe,Beauty & Hygiene,Bath & Hand Wash,Himalaya,2024-03-12,1,94.3,94.3,170.1270093457944,0.82
T0000061,C10506,Original Talc,Beauty & Hygiene,Men's Grooming,Cinthol,2024-03-29,1,128.25,128.25,141.10918918918918,0.95
