customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
C12000,3,4,2412.4,5,1,2,512
C12001,31,10,4189.1,2,3,4,234
C12002,89,4,879.15,1,1,1,111
C12003,62,5,1217.6,1,1,1,111
C12004,17,13,5156.37,3,4,4,344
C12005,45,5,1703.5,1,1,1,111
C12006,14,20,9771.2,3,5,5,355
C12007,19,9,3532.5,3,3,3,333
C12008,33,5,1524.0,2,1,1,211
C12009,20,10,3188.37,2,3,3,233
C12010,8,7,3378.9,4,2,3,423
C12011,67,5,3074.94,1,1,3,113
C12012,11,5,1087.9,4,1,1,411
C12013,10,20,6903.75,4,5,5,455
C12014,20,12,4202.95,2,4,4,244
C12015,29,6,1117.9,2,1,1,211
C12016,3,8,2086.2,5,2,2,522
C12017,36,7,2443.9,1,2,2,122
C12018,18,10,4482.25,3,3,4,334
C12019,34,9,2572.05,1,3,2,132
C12020,29,12,4224.400000000001,2,4,4,244
C12021,61,3,727.0,1,1,1,111
C12022,5,9,4505.8,5,3,4,534
C12023,3,10,3166.0,5,3,3,533
C12024,4,7,2145.95,5,2,2,522
C12025,6,14,5017.65,4,5,4,454
C12026,4,20,6055.55,5,5,5,555
C12027,11,12,6173.35,4,4,5,445
C12028,24,4,970.0,2,1,1,211
C12029,2,5,1638.5,5,1,1,511
C12030,2,10,1542.35,5,3,1,531
C12031,27,10,4530.3,2,3,4,234
C12032,82,3,503.0,1,1,1,111
C12033,67,11,3900.5,1,4,4,144
C12034,3,16,6980.79,5,5,5,555
C12035,66,4,1310.0,1,1,1,111
C12036,6,5,1955.45,4,1,2,412
C12037,9,10,2986.6,4,3,3,433
C12038,21,6,2426.0,2,1,2,212
C12039,43,10,3714.8,1,3,3,133
C12040,50,15,11618.5,1,5,5,155
C12041,30,4,857.0,2,1,1,211
C12042,15,17,4825.55,3,5,4,354
C12043,5,11,5111.15,5,4,4,544
C12044,12,11,4876.6,3,4,4,344
C12045,21,9,4198.4,2,3,4,234
C12046,70,7,3568.6,1,2,3,123
C12047,3,7,3450.9,5,2,3,523
C12048,22,2,180.0,2,1,1,211
C12049,69,9,3936.2,1,3,4,134
C12050,31,4,1345.8,2,1,1,211
C12051,12,9,3329.3,3,3,3,333
C12052,2,19,5930.7,5,5,5,555
C12053,7,8,2107.0,4,2,2,422
C12054,6,10,3506.5,4,3,3,433
C12055,50,18,8508.15,1,5,5,155
C12056,13,11,2364.37,3,4,2,342
C12057,2,8,2903.77,5,2,3,523
C12058,13,3,648.7,3,1,1,311
C12059,8,8,3671.3,4,2,3,423
C12060,4,10,4514.8,5,3,4,534
C12061,44,4,1903.0,1,1,2,112
C12062,2,18,5793.5,5,5,5,555
C12063,11,11,4770.15,4,4,4,444
C12064,3,20,5982.6,5,5,5,555
C12065,4,7,5026.1,5,2,4,524
C12066,27,3,557.29,2,1,1,211
C12067,12,3,914.0,3,1,1,311
C12068,9,13,5068.6,4,4,4,444
C12069,20,16,6022.15,2,5,5,255
C12070,19,8,1483.07,3,2,1,321
C12071,21,15,3295.15,2,5,3,253
C12072,11,12,6543.29,4,4,5,445
C12073,39,3,965.0,1,1,1,111
C12074,38,3,878.75,1,1,1,111
C12075,5,5,1006.75,5,1,1,511
C12076,3,10,4370.6,5,3,4,534
C12077,26,13,5974.7,2,4,5,245
C12078,23,5,983.0,2,1,1,211
C12079,12,8,3566.3,3,2,3,323
C12080,21,5,1207.25,2,1,1,211
C12081,14,6,2089.79,3,1,2,312
C12082,4,9,4795.0,5,3,4,534
C12083,10,17,7354.45,4,5,5,455
C12084,41,5,1820.0,1,1,1,111
C12085,13,9,2254.7,3,3,2,332
C12086,91,3,1608.1,1,1,1,111
C12087,114,6,1900.0,1,1,2,112
C12088,16,11,2571.3,3,4,2,342
C12089,28,3,409.8,2,1,1,211
C12090,7,6,3867.71,4,1,4,414
C12091,2,9,1937.25,5,3,2,532
C12092,9,12,6459.9,4,4,5,445
C12093,3,12,4417.55,5,4,4,544
C12094,25,8,4250.64,2,2,4,224
C12095,15,6,2177.0,3,1,2,312
C12096,19,15,7395.25,3,5,5,355
C12097,17,9,2366.2,3,3,2,332
C12098,15,13,6277.5,3,4,5,345
C12099,4,12,5416.2,5,4,5,545
C12100,11,16,6608.05,4,5,5,455
C12101,2,10,3310.05,5,3,3,533
C12102,5,8,2812.29,5,2,2,522
C12103,7,4,1325.4,4,1,1,411
C12104,7,18,6462.55,4,5,5,455
C12105,9,19,7997.6,4,5,5,455
C12106,7,13,5804.4,4,4,5,445
C12107,40,3,482.5,1,1,1,111
C12108,26,7,3084.0,2,2,3,223
C12109,16,10,3332.75,3,3,3,333
C12110,4,19,8396.3,5,5,5,555
C12111,2,15,9993.8,5,5,5,555
C12112,24,8,1830.62,2,2,1,221
C12113,21,12,4864.6,2,4,4,244
C12114,2,19,7764.8,5,5,5,555
C12115,17,4,1631.0,3,1,1,311
C12116,11,16,5185.85,4,5,4,454
C12117,3,4,2563.1000000000004,5,1,2,512
C12118,3,11,2984.8,5,4,3,543
C12119,25,8,4398.9,2,2,4,224
C12120,51,3,1472.0,1,1,1,111
C12121,6,16,5552.4,4,5,5,455
C12122,5,11,3090.8,5,4,3,543
C12123,40,8,4121.0,1,2,4,124
C12124,20,9,3004.05,2,3,3,233
C12125,22,5,4090.7999999999997,2,1,4,214
C12126,60,6,981.75,1,1,1,111
C12127,5,12,3729.5,5,4,3,543
C12128,2,3,1618.0,5,1,1,511
C12129,25,10,2884.55,2,3,3,233
C12130,31,7,3114.0,2,2,3,223
C12131,25,8,4839.1,2,2,4,224
C12132,8,3,1135.05,4,1,1,411
C12133,47,5,2680.75,1,1,2,112
C12134,11,6,1161.4,4,1,1,411
C12135,16,9,4607.11,3,3,4,334
C12136,5,14,6941.0,5,5,5,555
C12137,12,10,3182.85,3,3,3,333
C12138,60,3,1083.0,1,1,1,111
C12139,8,14,4282.9,4,5,4,454
C12140,58,8,1778.25,1,2,1,121
C12141,29,7,3022.85,2,2,3,223
C12142,2,8,2400.2,5,2,2,522
C12143,20,8,2077.44,2,2,2,222
