transaction_id,customer_id,product_id,category,brand,date,quantity,unit_price,total_price
T0000001,C18000,100% Orange Juice,Beverages,Tropicana,2024-06-28,3,405.0,1215.0
T0000002,C18000,Gluco Plus C  Orange – 500 g  (Get Sipper Free),Beverages,Dabur,2024-04-30,1,146.7,146.7
T0000003,C18000,Delight Fruit Juice - Apple,Beverages,Tropicana,2024-01-26,1,84.0,84.0
T0000004,C18001,Minute Maid Fruit Drink - Pulpy Orange 1 lt + Coca Cola Soft Drink 1.75 lt,Beverages,bb Combo,2024-06-09,2,160.0,320.0
T0000005,C18001,Mango Slim Shake - Weight Control Powered By Ayurveda,Beverages,Kapiva Ayurveda,2024-05-28,3,584.1,1752.3000000000002
T0000006,C18001,"Wheatgrass Juice - Supports Digestion, Cholesterol Control & Immunity, Zero Added Sugar",Beverages,Dr. Vaidya's,2024-03-27,1,450.0,450.0
T0000007,C18001,Juice - Mango Magic,Beverages,B Natural,2024-02-11,2,88.0,176.0
T0000008,C18001,Sweet Himalayan Loose Leaf Green Tea - 50 Cups,Beverages,VAHDAM,2024-05-10,2,349.0,698.0
T0000009,C18001,Strong Blend,Beverages,Jayanthi Coffee,2024-04-15,2,90.0,180.0
T0000010,C18001,Chakra Gold Activ+ Tea,Beverages,Tata Tea,2024-03-18,2,60.0,120.0
T0000011,C18001,Passionately Black Tea With Passion Fruit - Iced Tea,Beverages,Karma Kettle,2024-05-31,1,300.0,300.0
T0000012,C18001,Nolengur & Khejur Chai - Loose Leaf,Beverages,Karma Kettle,2024-04-21,1,400.0,400.0
T0000013,C18001,Nilgiris Green Tea - Anicca Chamomile,Beverages,Teamonk,2024-02-16,1,450.0,450.0
T0000014,C18001,Chakra Gold Activ+ Tea,Beverages,Tata Tea,2024-03-25,1,60.0,60.0
T0000015,C18001,Organic Himalayan Long Leaf Green Tea - Pyramid Bags,Beverages,VAHDAM,2024-02-11,1,157.5,157.5
T0000016,C18001,Tea - Hyderabad SPL Irani Chai,Beverages,9t9,2024-01-02,1,99.0,99.0
T0000017,C18001,PCOS Green Tea - Kashmiri Kahwa,Beverages,&Me,2024-03-10,1,330.0,330.0
T0000018,C18001,Chocolate Health Drink - Bournvita Little Champs,Beverages,Cadbury,2024-04-03,1,145.0,145.0
T0000019,C18001,Tea,Beverages,Tata Tea Kanan Devan,2024-03-22,1,132.0,132.0
T0000020,C18002,"Juice - Fruit Power, Cranberry 1 L + Fruit Power, Orange/Santra 1 L",Beverages,Real,2024-01-08,1,193.0,193.0
T0000021,C18002,Soft Drink - Original Taste,Beverages,Coca-Cola,2024-04-30,1,65.0,65.0
T0000022,C18002,Juice - Mango Refresh,Beverages,Maaza,2024-03-26,2,15.0,30.0
T0000023,C18002,"Chai - Masala, Tulsi",Beverages,ORGANIC INDIA,2024-04-19,1,230.0,230.0
T0000024,C18002,Native Haat - Aam Panna,Beverages,Rasna,2024-02-02,1,60.0,60.0
T0000025,C18002,Sports Drink - Orange Flavour,Beverages,Gatorade,2024-01-11,1,50.0,50.0
T0000026,C18002,Glucose-D - Energy Boost with Vitamin D,Beverages,Dabur,2024-06-14,1,26.1,26.1
T0000027,C18002,Earl Grey Tea,Beverages,Typhoo,2024-04-25,1,166.0,166.0
T0000028,C18002,Mixed Fruit Cold Pressed Juice - 100% Natural,Beverages,Raw Pressery,2024-01-10,1,300.0,300.0
T0000029,C18002,Dakshin Pink Guava,Beverages,B Natural,2024-03-08,2,104.5,209.0
T0000030,C18003,Dust Tea,Beverages,Wagh Bakri,2024-03-20,2,450.0,900.0
T0000031,C18003,Lite Health & Nutritional Drink - Vanilla Flavour,Beverages,Protinex ,2024-01-19,1,600.0,600.0
T0000032,C18003,Darjeeling Green Tea Bags - Ahina Long Leaf,Beverages,Teamonk,2024-01-27,1,237.5,237.5
T0000033,C18003,Coffee - Classic,Beverages,Nescafe ,2024-01-08,2,300.0,600.0
T0000034,C18003,Nilgiri Green Tea - Taizen Cinnamon,Beverages,Teamonk,2024-02-02,1,450.0,450.0
T0000035,C18003,Pepsi Soft Drink 2.25 L + Slice Thickest Mango Drink 1.2 L,Beverages,bb Combo,2024-01-05,2,155.0,310.0
T0000036,C18003,Energy Drink,Beverages,Red Bull,2024-03-22,2,2399.470000000001,4798.940000000002
T0000037,C18003,DiaFree Juice,Beverages,Kapiva Ayurveda,2024-05-15,3,420.0,1260.0
T0000038,C18003,"Juice - Fruit Power, Pomegranate/Anar",Beverages,Real,2024-03-09,1,114.0,114.0
T0000039,C18003,Dakshin Pink Guava,Beverages,B Natural,2024-06-26,3,104.5,313.5
T0000040,C18003,Instant Coffee,Beverages,Bru ,2024-05-25,2,271.0,542.0
T0000041,C18004,"Non-Alcoholic Beer Bottle - Malt Beverage, Peach Flavour",Beverages,Barbican ,2024-03-20,2,99.0,198.0
T0000042,C18004,Instant Energy Health Drink - Regular,Beverages,Glucon-D,2024-03-18,1,115.0,115.0
T0000043,C18004,Nutrition & Health Drink Royale - Chocolate,Beverages,Complan,2024-03-29,1,530.0,530.0
T0000044,C18004,Sparkling Water - Club Soda,Beverages,Kinley,2024-05-23,1,20.0,20.0
T0000045,C18004,"Non-Alcoholic Beer Can - Malt Beverage, Pomegranate Flavoured",Beverages,Barbican ,2024-05-24,3,49.0,147.0
T0000046,C18005,Green Tea - Tulsi,Beverages,Good Morning,2024-01-13,1,175.0,175.0
T0000047,C18005,Green Tea - Natural,Beverages,Good Morning,2024-02-07,2,175.0,350.0
T0000048,C18005,"Juice - Veggie To Go, Spicy",Beverages,Nature's First,2024-03-29,2,65.0,130.0
T0000049,C18005,Green Tea - Tulsi,Beverages,Good Morning,2024-04-25,1,175.0,175.0
T0000050,C18005,Alphonso Mango Nectar With Organic Saffron,Beverages,Nature's First,2024-01-13,2,50.0,100.0
T0000051,C18005,"Juice - Veggie To Go, Spicy",Beverages,Nature's First,2024-02-26,1,65.0,65.0
T0000052,C18006,Native Haat Honey Vita - Chocolate Flavour,Beverages,Rasna,2024-05-29,1,225.0,225.0
T0000053,C18006,Lime Juice Cordial,Beverages,Morton,2024-02-16,1,125.0,125.0
T0000054,C18006,Green Tea - Jasmine,Beverages,Twinings,2024-01-22,1,285.0,285.0
T0000055,C18006,Fruit Juice - Mango Delight,Beverages,Tropicana,2024-06-11,1,164.0,164.0
T0000056,C18006,"Squash - Lemon Ginger, Low Glycemic Sugarless",Beverages,Dezire,2024-03-11,1,238.0,238.0
T0000057,C18006,Nilgiris Green Teabags - Koen Organic Rose,Beverages,Teamonk,2024-05-17,1,250.0,250.0
T0000058,C18006,Syrup - Strawberry,Beverages,Mrs Bector'S Cremica,2024-01-25,1,235.0,235.0
T0000059,C18006,"Wheatgrass Juice - Supports Digestion, Cholesterol Control & Immunity, Zero Added Sugar",Beverages,Dr. Vaidya's,2024-01-07,1,450.0,450.0
T0000060,C18006,Nutritional Beverage Mix - Elaichi Flavour,Beverages,Pro360,2024-03-26,1,245.0,245.0
T0000061,C18007,Instant Coffee - Gold,Beverages,Bru ,2024-05-02,1,232.0,232.0
T0000062,C18007,Soft Drink - Orange,Beverages,Mirinda,2024-03-11,1,27.0,27.0
T0000063,C18007,Soft Drink,Beverages,Mirinda,2024-05-27,1,64.03,64.03
T0000064,C18007,Instant Coffee,Beverages,Bru ,2024-03-07,2,272.0,544.0
T0000065,C18007,Instant Coffee - Gold,Beverages,Bru ,2024-04-20,1,232.0,232.0
T0000066,C18007,Soft Drink - Orange,Beverages,Mirinda,2024-04-09,1,27.0,27.0
T0000067,C18007,Instant Coffee - Gold,Beverages,Bru ,2024-04-29,1,232.0,232.0
T0000068,C18007,Soft Drink,Beverages,Mirinda,2024-01-19,1,128.06,128.06
T0000069,C18007,Instant Coffee,Beverages,Bru ,2024-01-24,1,271.0,271.0
T0000070,C18007,Soft Drink,Beverages,Mirinda,2024-04-14,1,64.03,64.03
T0000071,C18008,Founders Private Reserve Trio,Beverages,VAHDAM,2024-06-21,2,1995.0,3990.0
T0000072,C18008,Tea,Beverages,Tata Tea Gold,2024-02-24,1,495.0,495.0
T0000073,C18008,Calming Chamomile Loose Golden Chamomile Buds,Beverages,Isvaari,2024-05-26,1,318.75,318.75
T0000074,C18008,Aloe Vera and Garcinia Juice,Beverages,Kapiva Ayurveda,2024-02-07,1,495.0,495.0
T0000075,C18008,"Non-Alcoholic Beer Can - Beverage, Malt Flavour",Beverages,Barbican ,2024-04-04,1,49.0,49.0
T0000076,C18008,Gluco Plus C  Orange – 500 g  (Get Sipper Free),Beverages,Dabur,2024-01-24,1,146.7,146.7
T0000077,C18008,Fruit Power Juice - Peach,Beverages,Real,2024-04-02,1,198.0,198.0
T0000078,C18008,Chocolate Health Drink - Bournvita Little Champs,Beverages,Cadbury,2024-06-06,3,145.0,435.0
T0000079,C18008,Instant Drink Mix - Orange,Beverages,Tang,2024-02-06,1,30.0,30.0
T0000080,C18008,Nilgiris Green Tea - Zoho Lemongrass,Beverages,Teamonk,2024-06-06,1,200.0,200.0
T0000081,C18009,"Woddae Medium Dark Roast Ground Coffee - Whole Beans, Single Origin",Beverages,Seven Beans,2024-01-07,2,300.0,600.0
T0000082,C18009,Mix - Badam Milk,Beverages,Bambino,2024-01-14,2,105.0,210.0
T0000083,C18009,"Woddae Medium Dark Roast Ground Coffee - Whole Beans, Single Origin",Beverages,Seven Beans,2024-02-11,1,300.0,300.0
T0000084,C18009,"Woddae Medium Dark Roast Ground Coffee - Whole Beans, Single Origin",Beverages,Seven Beans,2024-01-19,1,300.0,300.0
T0000085,C18009,Mix - Badam Milk,Beverages,Bambino,2024-05-26,1,105.0,105.0
T0000086,C18009,"Woddae Medium Dark Roast Ground Coffee - Whole Beans, Single Origin",Beverages,Seven Beans,2024-01-18,1,300.0,300.0
T0000087,C18009,"Woddae Medium Dark Roast Ground Coffee - Whole Beans, Single Origin",Beverages,Seven Beans,2024-02-08,1,300.0,300.0
