customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Segment_Name,Value_Score
C00000,3,9,1944.0,5,3,3,533,1,🔔 Need Attention,39.6
C00001,16,7,1361.1,3,2,2,322,1,🔔 Need Attention,39.6
C00002,51,3,586.0,1,1,1,111,2,😴 Hibernating,25.6
C00003,115,4,361.0,1,1,1,111,2,😴 Hibernating,25.6
C00004,2,13,3706.5,5,4,4,544,0,🌟 Champions,58.5
C00005,44,6,808.0,1,1,1,111,2,😴 Hibernating,25.6
C00006,3,19,7942.41,5,5,5,555,0,🌟 Champions,58.5
C00007,21,10,1413.5,2,3,2,232,1,🔔 Need Attention,39.6
C00008,89,4,591.0,1,1,1,111,2,😴 Hibernating,25.6
C00009,4,7,4007.0,5,2,4,524,1,🔔 Need Attention,39.6
C00010,21,12,11982.880000000005,2,4,5,245,0,🌟 Champions,58.5
C00011,33,9,5100.3,2,3,5,235,0,🌟 Champions,58.5
C00012,17,11,4746.92,3,4,5,345,0,🌟 Champions,58.5
C00013,21,19,6306.42,2,5,5,255,0,🌟 Champions,58.5
C00014,8,13,5413.210000000001,4,4,5,445,0,🌟 Champions,58.5
C00015,11,7,846.0,4,2,1,421,1,🔔 Need Attention,39.6
C00016,7,9,3382.55,4,3,4,434,1,🔔 Need Attention,39.6
C00017,24,5,1253.3,2,1,2,212,1,🔔 Need Attention,39.6
C00018,11,8,3604.0,4,2,4,424,1,🔔 Need Attention,39.6
C00019,5,9,1915.2,5,3,3,533,1,🔔 Need Attention,39.6
C00020,25,9,2480.0,2,3,3,233,1,🔔 Need Attention,39.6
C00021,41,2,184.2,1,1,1,111,2,😴 Hibernating,25.6
C00022,5,7,1557.0,5,2,2,522,1,🔔 Need Attention,39.6
C00023,45,11,4244.25,1,4,5,145,0,🌟 Champions,58.5
C00024,34,8,963.0,2,2,1,221,1,🔔 Need Attention,39.6
C00025,28,14,4840.53,2,5,5,255,0,🌟 Champions,58.5
C00026,14,19,3654.3,3,5,4,354,0,🌟 Champions,58.5
C00027,19,9,2200.3,3,3,3,333,1,🔔 Need Attention,39.6
C00028,35,8,1435.0,1,2,2,122,1,🔔 Need Attention,39.6
C00029,46,4,1478.2,1,1,2,112,2,😴 Hibernating,25.6
C00030,7,15,1928.6,4,5,3,453,0,🌟 Champions,58.5
C00031,16,7,885.87,3,2,1,321,1,🔔 Need Attention,39.6
C00032,19,9,2862.65,3,3,4,334,1,🔔 Need Attention,39.6
C00033,38,11,2164.0,1,4,3,143,1,🔔 Need Attention,39.6
C00034,15,12,1604.0,3,4,2,342,1,🔔 Need Attention,39.6
C00035,4,3,1449.0,5,1,2,512,1,🔔 Need Attention,39.6
C00036,12,4,2763.0,4,1,3,413,1,🔔 Need Attention,39.6
C00037,13,8,8080.0,3,2,5,325,0,🌟 Champions,58.5
C00038,2,4,519.74,5,1,1,511,1,🔔 Need Attention,39.6
C00039,75,8,2339.0,1,2,3,123,2,😴 Hibernating,25.6
C00040,5,15,4986.14,5,5,5,555,0,🌟 Champions,58.5
C00041,99,3,552.15,1,1,1,111,2,😴 Hibernating,25.6
C00042,6,16,3989.87,5,5,4,554,0,🌟 Champions,58.5
C00043,22,8,5872.0,2,2,5,225,0,🌟 Champions,58.5
C00044,12,8,2297.4,4,2,3,423,1,🔔 Need Attention,39.6
