customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Segment_Name
C03000,3,9,2084.25,5,3,4,534,0,Standard (MMM)
C03001,68,7,1093.5,1,2,2,122,2,Hibernating
C03002,69,3,268.0,1,1,1,111,2,Hibernating
C03003,33,4,758.15,2,1,2,212,0,Standard (MMM)
C03004,13,13,1958.75,3,4,4,344,1,Standard (MHH)
C03005,39,6,737.0,1,1,2,112,0,Standard (MMM)
C03006,8,19,3596.3,4,5,5,455,1,Standard (MHH)
C03007,54,10,1092.95,1,3,2,132,2,Hibernating
C03008,51,4,1785.0,1,1,4,114,2,Hibernating
C03009,12,7,1004.5,4,2,2,422,0,Standard (MMM)
C03010,19,12,2056.24,3,4,4,344,1,Standard (MHH)
C03011,35,9,1847.0,2,3,4,234,0,Standard (MMM)
C03012,11,11,2751.0,4,4,5,445,1,Standard (MHH)
C03013,5,19,2652.95,5,5,5,555,1,Standard (MHH)
C03014,3,13,1860.0,5,4,4,544,1,Standard (MHH)
C03015,9,7,912.25,4,2,2,422,0,Standard (MMM)
C03016,11,9,3121.5,4,3,5,435,1,Standard (MHH)
C03017,5,5,325.0,5,1,1,511,0,Standard (MMM)
C03018,16,8,1211.75,3,2,3,323,0,Standard (MMM)
C03019,19,9,1594.54,3,3,3,333,0,Standard (MMM)
C03020,24,9,972.45,2,3,2,232,0,Standard (MMM)
C03021,87,2,430.0,1,1,1,111,2,Hibernating
C03022,25,7,1183.08,2,2,3,223,0,Standard (MMM)
C03023,4,11,1482.75,5,4,3,543,0,Standard (MMM)
C03024,10,8,2150.0,4,2,4,424,0,Standard (MMM)
C03025,12,14,3145.82,4,5,5,455,1,Standard (MHH)
C03026,21,19,2331.88,2,5,4,254,1,Standard (MHH)
C03027,60,9,1206.29,1,3,3,133,2,Hibernating
C03028,26,8,1876.4,2,2,4,224,0,Standard (MMM)
C03029,72,4,1651.0,1,1,3,113,2,Hibernating
C03030,8,15,3616.5,4,5,5,455,1,Standard (MHH)
C03031,66,7,793.36,1,2,2,122,2,Hibernating
C03032,31,9,1181.21,2,3,3,233,0,Standard (MMM)
C03033,11,11,4308.0,4,4,5,445,1,Standard (MHH)
C03034,41,12,1255.0,1,4,3,143,0,Standard (MMM)
C03035,90,3,157.5,1,1,1,111,2,Hibernating
C03036,12,4,958.0,4,1,2,412,0,Standard (MMM)
C03037,6,8,1166.0,5,2,3,523,0,Standard (MMM)
C03038,34,4,1188.0,2,1,3,213,0,Standard (MMM)
C03039,4,8,970.5,5,2,2,522,0,Standard (MMM)
C03040,7,15,1618.2,4,5,3,453,1,Standard (MHH)
C03041,81,3,121.4,1,1,1,111,2,Hibernating
C03042,4,16,2411.5,5,5,4,554,1,Standard (MHH)
C03043,5,8,924.15,5,2,2,522,0,Standard (MMM)
C03044,7,8,198.0,4,2,1,421,0,Standard (MMM)
C03045,5,7,1172.09,5,2,3,523,0,Standard (MMM)
C03046,28,7,1013.4,2,2,2,222,0,Standard (MMM)
C03047,21,7,1459.0,2,2,3,223,0,Standard (MMM)
C03048,12,6,600.3,4,1,1,411,0,Standard (MMM)
C03049,21,14,1198.25,2,5,3,253,1,Standard (MHH)
C03050,18,3,900.0,3,1,2,312,0,Standard (MMM)
C03051,34,9,1124.5,2,3,3,233,0,Standard (MMM)
C03052,23,18,2040.5,2,5,4,254,1,Standard (MHH)
C03053,11,8,518.43,4,2,1,421,0,Standard (MMM)
C03054,10,11,2128.0,4,4,4,444,1,Standard (MHH)
C03055,6,17,1852.75,5,5,4,554,1,Standard (MHH)
C03056,9,11,1634.75,4,4,3,443,0,Standard (MMM)
C03057,76,6,431.08,1,1,1,111,2,Hibernating
C03058,10,3,949.0,4,1,2,412,0,Standard (MMM)
C03059,27,9,1067.95,2,3,2,232,0,Standard (MMM)
C03060,18,7,784.75,3,2,2,322,0,Standard (MMM)
C03061,36,8,2064.5,1,2,4,124,0,Standard (MMM)
C03062,7,18,2414.7,4,5,4,454,1,Standard (MHH)
C03063,29,8,2395.0,2,2,4,224,0,Standard (MMM)
C03064,6,19,3530.57,5,5,5,555,1,Standard (MHH)
C03065,10,8,400.0,4,2,1,421,0,Standard (MMM)
C03066,20,8,842.5,3,2,2,322,0,Standard (MMM)
C03067,13,2,440.0,3,1,1,311,0,Standard (MMM)
C03068,17,12,1736.0,3,4,4,344,1,Standard (MHH)
C03069,10,15,2432.3,4,5,4,454,1,Standard (MHH)
C03070,6,8,1396.72,5,2,3,523,0,Standard (MMM)
C03071,31,14,2212.24,2,5,4,254,1,Standard (MHH)
C03072,21,19,3128.93,2,5,5,255,1,Standard (MHH)
C03073,45,8,1225.25,1,2,3,123,0,Standard (MMM)
C03074,145,2,980.0,1,1,2,112,2,Hibernating
C03075,33,4,268.3,2,1,1,211,0,Standard (MMM)
C03076,45,7,398.54,1,2,1,121,2,Hibernating
C03077,2,14,5829.0,5,5,5,555,1,Standard (MHH)
C03078,5,9,2730.3,5,3,5,535,1,Standard (MHH)
C03079,4,13,2967.0,5,4,5,545,1,Standard (MHH)
C03080,17,4,199.6,3,1,1,311,0,Standard (MMM)
C03081,15,6,487.5,3,1,1,311,0,Standard (MMM)
C03082,5,7,620.0,5,2,1,521,0,Standard (MMM)
C03083,4,17,2040.75,5,5,4,554,1,Standard (MHH)
C03084,20,6,973.0,3,1,2,312,0,Standard (MMM)
C03085,20,9,1037.0,3,3,2,332,0,Standard (MMM)
C03086,8,2,161.0,4,1,1,411,0,Standard (MMM)
C03087,3,6,478.0,5,1,1,511,0,Standard (MMM)
C03088,15,8,1769.0,3,2,4,324,0,Standard (MMM)
C03089,24,6,536.6800000000001,2,1,1,211,0,Standard (MMM)
C03090,14,7,1077.76,3,2,2,322,0,Standard (MMM)
C03091,35,9,2128.0,2,3,4,234,0,Standard (MMM)
C03092,32,9,1747.8,2,3,4,234,0,Standard (MMM)
C03093,10,19,4317.2,4,5,5,455,1,Standard (MHH)
C03094,33,6,696.0,2,1,2,212,0,Standard (MMM)
C03095,11,11,1998.0,4,4,4,444,1,Standard (MHH)
C03096,5,15,3573.58,5,5,5,555,1,Standard (MHH)
C03097,11,14,1592.64,4,5,3,453,1,Standard (MHH)
C03098,13,13,4403.5,3,4,5,345,1,Standard (MHH)
C03099,12,19,7195.65,4,5,5,455,1,Standard (MHH)
C03100,12,12,4211.7,4,4,5,445,1,Standard (MHH)
C03101,6,7,695.4,5,2,2,522,0,Standard (MMM)
C03102,11,8,1154.2,4,2,3,423,0,Standard (MMM)
C03103,67,3,389.0,1,1,1,111,2,Hibernating
C03104,2,18,2178.4700000000003,5,5,4,554,1,Standard (MHH)
