customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
C00000,2,13,6869.0,5,4,5,545
C00001,94,2,157.0,1,1,1,111
C00002,28,12,2263.32,2,4,2,242
C00003,15,8,2804.2200000000003,3,2,3,323
C00004,20,15,3733.7,3,5,4,354
C00005,5,19,7398.99,5,5,5,555
C00006,14,8,3379.15,3,2,3,323
C00007,20,8,1676.0,3,2,2,322
C00008,40,6,1524.0,1,1,2,112
C00009,11,11,3423.0,4,4,3,443
C00010,20,14,3916.9,3,4,4,344
C00011,10,6,1127.1,4,1,1,411
C00012,6,16,7388.47,5,5,5,555
C00013,4,14,4902.5,5,4,4,544
C00014,4,12,5804.0,5,4,5,545
C00015,17,16,6808.03,3,5,5,355
C00016,10,8,2586.5,4,2,3,423
C00017,29,9,2390.5,2,3,3,233
C00018,30,4,951.16,2,1,1,211
C00019,20,5,1683.0,3,1,2,312
C00020,33,9,2191.83,2,3,2,232
C00021,14,4,840.0,3,1,1,311
C00022,39,2,440.0,1,1,1,111
C00023,77,5,3388.65,1,1,3,113
C00024,19,4,2405.5,3,1,3,313
C00025,118,2,1697.0,1,1,2,112
C00026,39,9,3577.0,1,3,4,134
C00027,75,4,5575.0,1,1,5,115
C00028,26,9,3331.35,2,3,3,233
C00029,40,8,1433.0,1,2,2,122
C00030,20,12,2365.65,3,4,3,343
C00031,16,18,8950.2,3,5,5,355
C00032,10,11,4697.190000000001,4,4,4,444
C00033,46,3,685.0,1,1,1,111
C00034,52,8,3614.5,1,2,4,124
C00035,8,14,5457.8,4,4,5,445
C00036,9,13,6122.13,4,4,5,445
C00037,6,10,3665.5,5,3,4,534
C00038,42,12,4740.0,1,4,4,144
C00039,46,9,1747.44,1,3,2,132
C00040,13,10,5009.7,3,3,4,334
C00041,8,15,8157.5,4,5,5,455
C00042,16,18,6559.85,3,5,5,355
C00043,40,10,2148.0,1,3,2,132
C00044,2,7,2978.45,5,2,3,523
C00045,13,10,2761.0,3,3,3,333
C00046,19,4,1482.88,3,1,2,312
C00047,42,2,1276.56,1,1,1,111
C00048,47,11,3998.71,1,4,4,144
C00049,24,9,6131.8,2,3,5,235
C00050,22,14,3108.0,2,4,3,243
C00051,33,13,4777.55,2,4,4,244
C00052,4,13,2739.2,5,4,3,543
C00053,4,10,3394.0,5,3,3,533
C00054,74,7,2299.0,1,2,2,122
C00055,17,7,1698.56,3,2,2,322
C00056,24,11,11249.0,2,4,5,245
C00057,7,11,5732.35,4,4,5,445
C00058,39,5,461.1,1,1,1,111
C00059,33,5,1903.2,2,1,2,212
C00060,28,18,5190.5,2,5,4,254
C00061,4,19,3896.9,5,5,4,554
C00062,8,12,5323.17,4,4,4,444
C00063,8,15,5389.73,4,5,4,454
C00064,19,6,1795.16,3,1,2,312
C00065,55,4,1312.4,1,1,1,111
C00066,7,16,6670.72,4,5,5,455
C00067,6,15,4410.0,5,5,4,554
C00068,7,10,4106.95,4,3,4,434
C00069,10,10,5021.0,4,3,4,434
C00070,7,14,6193.0,4,4,5,445
C00071,4,15,12642.310000000003,5,5,5,555
C00072,11,19,9102.17,4,5,5,455
C00073,5,10,995.1,5,3,1,531
C00074,34,14,5842.1,2,4,5,245
C00075,5,14,6376.870000000001,5,4,5,545
C00076,9,14,8554.0,4,4,5,445
C00077,14,8,2249.0,3,2,2,322
C00078,8,10,2464.5,4,3,3,433
C00079,26,16,5477.3,2,5,5,255
C00080,16,14,4612.5,3,4,4,344
C00081,9,2,329.25,4,1,1,411
C00082,44,11,4630.470000000001,1,4,4,144
C00083,4,12,4762.95,5,4,4,544
C00084,20,10,2845.0,3,3,3,333
C00085,15,10,4091.3,3,3,4,334
C00086,30,4,4575.0,2,1,4,214
C00087,14,17,4905.5,3,5,4,354
C00088,2,14,4631.2,5,4,4,544
C00089,13,19,7139.1,3,5,5,355
C00090,30,6,2232.5,2,1,2,212
C00091,27,8,1406.37,2,2,2,222
C00092,5,13,2534.0,5,4,3,543
C00093,2,15,12329.0,5,5,5,555
C00094,60,8,3168.570000000001,1,2,3,123
C00095,19,14,5704.970000000001,3,4,5,345
C00096,11,16,6983.0,4,5,5,455
C00097,27,12,4139.2,2,4,4,244
C00098,7,14,3539.13,4,4,4,444
C00099,14,19,8018.92,3,5,5,355
C00100,20,2,245.0,3,1,1,311
C00101,17,8,5158.26,3,2,4,324
C00102,2,3,1925.0,5,1,2,512
C00103,15,11,5848.650000000001,3,4,5,345
C00104,41,2,822.0,1,1,1,111
C00105,2,7,2788.3,5,2,3,523
C00106,15,9,2008.76,3,3,2,332
C00107,24,3,582.0,2,1,1,211
C00108,6,16,4893.93,5,5,4,554
C00109,26,6,1756.0,2,1,2,212
C00110,5,16,6352.46,5,5,5,555
C00111,16,9,2935.15,3,3,3,333
C00112,3,14,7157.45,5,4,5,545
C00113,9,11,3106.55,4,4,3,443
C00114,6,11,2502.0,5,4,3,543
C00115,11,8,1534.25,4,2,2,422
C00116,25,6,2735.5,2,1,3,213
C00117,9,18,5131.43,4,5,4,454
C00118,12,13,1827.0,3,4,2,342
C00119,2,11,8139.5,5,4,5,545
C00120,17,17,7196.6,3,5,5,355
C00121,35,2,135.0,2,1,1,211
C00122,16,8,4879.0,3,2,4,324
C00123,97,6,9630.6,1,1,5,115
C00124,4,7,1035.0,5,2,1,521
C00125,9,13,9051.0,4,4,5,445
C00126,46,3,612.75,1,1,1,111
C00127,38,9,1976.0,1,3,2,132
C00128,9,11,2142.9500000000003,4,4,2,442
C00129,5,14,6612.510000000001,5,4,5,545
C00130,11,13,5458.55,4,4,5,445
C00131,16,11,12336.0,3,4,5,345
C00132,48,6,6589.0,1,1,5,115
C00133,3,14,2730.95,5,4,3,543
C00134,66,9,1251.55,1,3,1,131
C00135,3,6,1315.7,5,1,1,511
C00136,9,11,11566.630000000005,4,4,5,445
C00137,12,13,4021.35,3,4,4,344
C00138,5,18,7989.200000000001,5,5,5,555
C00139,35,6,2410.0,2,1,3,213
C00140,8,2,1025.0,4,1,1,411
C00141,6,11,5555.65,5,4,5,545
C00142,25,17,8926.970000000001,2,5,5,255
C00143,9,12,4246.04,4,4,4,444
C00144,50,3,1759.0,1,1,2,112
C00145,34,8,1249.0,2,2,1,221
C00146,20,9,2799.0,3,3,3,333
C00147,100,4,965.0,1,1,1,111
C00148,3,2,206.0,5,1,1,511
C00149,15,14,5949.1,3,4,5,345
C00150,34,11,2702.8,2,4,3,243
C00151,70,5,3279.0,1,1,3,113
C00152,45,6,1553.32,1,1,2,112
C00153,10,8,1082.1,4,2,1,421
C00154,30,7,1525.46,2,2,2,222
C00155,5,9,4438.36,5,3,4,534
C00156,69,2,985.0,1,1,1,111
C00157,31,4,1331.0,2,1,1,211
C00158,38,4,1012.0,1,1,1,111
C00159,3,13,5961.25,5,4,5,545
C00160,24,5,2665.25,2,1,3,213
C00161,15,9,1948.0,3,3,2,332
C00162,2,12,1630.1499999999999,5,4,2,542
