test,n_samples,n_clusters,silhouette,davies_bouldin,calinski_harabasz,cluster_sizes,size_std,size_min,size_max,source_data_pct,target_data_pct,strategy,pair_id,transfer_quality_pct,pair_name,expected_transfer,week1_score,source_silhouette
Test 1: Transfer as-is,1200,3,0.2932764511299251,0.648876643343235,508.8599068568422,"{0: 124, 1: 1027, 2: 49}",444.4119710358847,49,1027,100,0,Transfer as-is,3,72.01486224952005,Premium → Budget Segment,LOW,0.715,0.4260813233890214
Test: Fine-tune 10%,1200,3,0.2965133924174873,0.6516526526238152,537.6902732839193,"{0: 123, 1: 61, 2: 1016}",436.3125790836962,61,1016,100,10,Fine-tune 10%,3,72.80970233993804,Premium → Budget Segment,LOW,0.715,0.4260813233890214
Test: Fine-tune 20%,1200,3,0.29287280301344926,0.6472428049200465,503.07868304478467,"{0: 48, 1: 123, 2: 1029}",445.82283476735466,48,1029,100,20,Fine-tune 20%,3,71.9157453126051,Premium → Budget Segment,LOW,0.715,0.4260813233890214
Test: Fine-tune 50%,1200,3,0.28807828651974243,0.7015737900258685,502.1164066084462,"{0: 988, 1: 22, 2: 190}",421.39767441218754,22,988,100,50,Fine-tune 50%,3,70.738438223962,Premium → Budget Segment,LOW,0.715,0.4260813233890214
Test 5: Train from scratch,1200,3,0.4072443409164192,0.8563249313772737,1178.3393206045257,"{0: 557, 1: 452, 2: 191}",153.8765739155899,191,557,0,100,Train from scratch,3,100.0,Premium → Budget Segment,LOW,0.715,0.4260813233890214
Test 1: Transfer as-is,1200,3,0.37358134843042845,0.9051412538935767,713.2920992170733,"{0: 133, 1: 622, 2: 445}",202.15340709471113,133,622,100,0,Transfer as-is,4,100.07414710623459,Popular → Niche Brands,LOW-MODERATE,0.874,0.40466730048499344
Test: Fine-tune 10%,1200,3,0.37349382607663434,0.9058611740848977,714.9208367349598,"{0: 622, 1: 445, 2: 133}",202.15340709471113,133,622,100,10,Fine-tune 10%,4,100.05070181126612,Popular → Niche Brands,LOW-MODERATE,0.874,0.40466730048499344
Test: Fine-tune 20%,1200,3,0.3738116835797971,0.9078184189277977,719.6598208044959,"{0: 625, 1: 442, 2: 133}",203.04186760370385,133,625,100,20,Fine-tune 20%,4,100.13584877768716,Popular → Niche Brands,LOW-MODERATE,0.874,0.40466730048499344
Test: Fine-tune 50%,1200,3,0.37483384995884433,0.9139415867981886,725.8379260148727,"{0: 134, 1: 438, 2: 628}",203.4567931199808,134,628,100,50,Fine-tune 50%,4,100.40966445133786,Popular → Niche Brands,LOW-MODERATE,0.874,0.40466730048499344
Test 5: Train from scratch,1200,3,0.373304553906265,0.929157728332696,781.8471707463777,"{0: 428, 1: 163, 2: 609}",183.15203156576413,163,609,0,100,Train from scratch,4,100.0,Popular → Niche Brands,LOW-MODERATE,0.874,0.40466730048499344
