CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score
12413,66,3,758.1,66.0,3.0,758.1,2,1,3,213
12437,1,18,4951.41,1.0,18.0,4951.41,5,4,5,545
12441,366,1,173.55,366.0,1.0,173.55,1,1,1,111
12488,9,3,1298.66,9.0,3.0,1298.66,5,1,4,514
12489,336,1,334.93,336.0,1.0,334.93,1,1,1,111
12490,5,10,5417.93,5.0,10.0,5417.93,5,3,5,535
12491,38,1,460.40000000000003,38.0,1.0,460.40000000000003,3,1,2,312
12493,165,2,433.74,165.0,2.0,433.74,1,1,2,112
12494,15,7,1246.1000000000001,15.0,7.0,1246.1000000000001,4,2,4,424
12506,232,1,73.5,232.0,1.0,73.5,1,1,1,111
12508,26,2,398.27,26.0,2.0,398.27,4,1,2,412
12509,284,1,176.5,284.0,1.0,176.5,1,1,1,111
12513,112,1,612.29,112.0,1.0,612.29,2,1,2,212
12523,19,11,1789.77,19.0,11.0,1789.77,4,3,4,434
12532,30,1,349.83000000000004,30.0,1.0,349.83000000000004,3,1,2,312
12535,91,2,716.35,91.0,2.0,716.35,2,1,3,213
12536,43,3,12601.830000000002,43.0,3.0,12601.830000000002,3,1,5,315
12553,8,10,3692.28,8.0,10.0,3692.28,5,3,5,535
12562,8,7,3781.7400000000002,8.0,7.0,3781.7400000000002,5,2,5,525
12564,261,1,456.9,261.0,1.0,456.9,1,1,2,112
12567,22,10,9401.28,22.0,10.0,9401.28,4,3,5,435
12571,39,2,519.61,39.0,2.0,519.61,3,1,2,312
12573,227,1,160.54000000000002,227.0,1.0,160.54000000000002,1,1,1,111
12574,315,1,218.45,315.0,1.0,218.45,1,1,1,111
12577,35,3,657.8,35.0,3.0,657.8,3,1,3,313
12579,78,1,440.42,78.0,1.0,440.42,2,1,2,212
12583,2,15,7281.38,2.0,15.0,7281.38,5,4,5,545
12589,28,2,646.68,28.0,2.0,646.68,3,1,3,313
12593,108,3,418.09999999999997,108.0,3.0,418.09999999999997,2,1,2,212
12598,9,8,3023.08,9.0,8.0,3023.08,5,2,4,524
12599,29,7,1032.58,29.0,7.0,1032.58,3,2,3,323
12602,58,1,153.12,58.0,1.0,153.12,3,1,1,311
12604,79,2,254.18,79.0,2.0,254.18,2,1,1,211
12615,2,4,2291.19,2.0,4.0,2291.19,5,1,4,514
12616,95,2,713.3,95.0,2.0,713.3,2,1,3,213
12617,29,1,355.53,29.0,1.0,355.53,3,1,2,312
12620,14,3,1339.41,14.0,3.0,1339.41,4,1,4,414
12624,106,2,641.13,106.0,2.0,641.13,2,1,2,212
12637,67,8,6021.9,67.0,8.0,6021.9,2,2,5,225
12640,23,3,1174.58,23.0,3.0,1174.58,4,1,4,414
