CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score
12346,325,1,77183.6,325.0,1.0,17281.158099999997,1,1,5,115
12747,2,11,4196.01,2.0,11.0,4196.01,5,2,5,525
12748,0,209,33719.73,0.0,29.809999999999945,17281.158099999997,5,5,5,555
12749,3,5,4090.88,3.0,5.0,4090.88,5,1,5,515
12820,3,4,942.34,3.0,4.0,942.34,5,1,4,514
12821,214,1,92.72,214.0,1.0,92.72,1,1,1,111
12822,70,2,948.88,70.0,2.0,948.88,3,1,4,314
12823,74,5,1759.5,74.0,5.0,1759.5,2,1,4,214
12824,59,1,397.12,59.0,1.0,397.12,3,1,2,312
12826,2,7,1474.72,2.0,7.0,1474.72,5,2,4,524
12827,5,3,430.15000000000003,5.0,3.0,430.15000000000003,5,1,2,512
12828,2,6,1018.71,2.0,6.0,1018.71,5,1,4,514
12829,336,2,293.0,336.0,2.0,293.0,1,1,2,112
12830,37,6,6814.64,37.0,6.0,6814.64,3,1,5,315
12831,262,1,215.05,262.0,1.0,215.05,1,1,1,111
12832,32,2,383.03,32.0,2.0,383.03,4,1,2,412
12833,145,1,417.38,145.0,1.0,417.38,2,1,2,212
12834,282,1,312.38,282.0,1.0,312.38,1,1,2,112
12836,59,4,2612.86,59.0,4.0,2612.86,3,1,5,315
12837,173,1,134.1,173.0,1.0,134.1,2,1,1,211
12838,33,2,683.13,33.0,2.0,683.13,3,1,3,313
12839,2,14,5591.42,2.0,14.0,5591.42,5,3,5,535
12840,143,4,2726.77,143.0,4.0,2726.77,2,1,5,215
12841,4,25,4022.35,4.0,25.0,4022.35,5,5,5,555
12842,70,2,1118.99,70.0,2.0,1118.99,3,1,4,314
12843,65,8,1702.26,65.0,8.0,1702.26,3,2,4,324
12844,29,2,325.96000000000004,29.0,2.0,325.96000000000004,4,1,2,412
12845,267,4,354.09,267.0,4.0,354.09,1,1,2,112
12847,22,1,871.54,22.0,1.0,871.54,4,1,3,413
