CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score,Recency_scaled,Frequency_scaled,Monetary_scaled
12346,325,1,77183.6,325.0,1.0,17281.158099999997,1,1,5,115,2.3405729157520305,-0.6229347739241279,6.193565764810467
12747,2,11,4196.01,2.0,11.0,4196.01,5,2,5,525,-0.8992053673447528,1.437801380738829,1.0554200903490192
12748,0,209,33719.73,0.0,29.809999999999945,17281.158099999997,5,5,5,555,-0.9192659139893149,5.31404608765984,6.193565764810467
12749,3,5,4090.88,3.0,5.0,4090.88,5,1,5,515,-0.8891750940224717,0.20135968794105488,1.0141386886691914
12820,3,4,942.34,3.0,4.0,942.34,5,1,4,514,-0.8891750940224717,-0.004713927525240807,-0.22219865029213443
12821,214,1,92.72,214.0,1.0,92.72,1,1,1,111,1.2272125769788327,-0.6229347739241279,-0.5558189727045293
12822,70,2,948.88,70.0,2.0,948.88,3,1,4,314,-0.2171467814296405,-0.4168611584578322,-0.21963058820722936
12823,74,5,1759.5,74.0,5.0,1759.5,2,1,4,214,-0.17702568814051622,0.20135968794105488,0.09867560250619023
12824,59,1,397.12,59.0,1.0,397.12,3,1,2,312,-0.3274797879747322,-0.6229347739241279,-0.4362902114438092
12826,2,7,1474.72,2.0,7.0,1474.72,5,2,4,524,-0.8992053673447528,0.6135069188736463,-0.013148972499814586
12827,5,3,430.15000000000003,5.0,3.0,430.15000000000003,5,1,2,512,-0.8691145473779096,-0.21078754299153651,-0.4233203199049078
12828,2,6,1018.71,2.0,6.0,1018.71,5,1,4,514,-0.8992053673447528,0.40743330340735057,-0.19221043906519228
12829,336,2,293.0,336.0,2.0,293.0,1,1,2,112,2.4509059222971223,-0.4168611584578322,-0.47717501637963766
12830,37,6,6814.64,37.0,6.0,6814.64,3,1,5,315,-0.5481458010649156,0.40743330340735057,2.083677646525627
12831,262,1,215.05,262.0,1.0,215.05,1,1,1,111,1.7086656964483236,-0.6229347739241279,-0.5077836462754102
12832,32,2,383.03,32.0,2.0,383.03,4,1,2,412,-0.5982971676763209,-0.4168611584578322,-0.44182293235761855
12833,145,1,417.38,145.0,1.0,417.38,2,1,2,212,0.5351237177414393,-0.6229347739241279,-0.4283347163612134
12834,282,1,312.38,282.0,1.0,312.38,1,1,2,112,1.909271162893945,-0.6229347739241279,-0.4695650709353777
12836,59,4,2612.86,59.0,4.0,2612.86,3,1,5,315,-0.3274797879747322,-0.004713927525240807,0.4337645108815125
12837,173,1,134.1,173.0,1.0,134.1,2,1,1,211,0.815971370765309,-0.6229347739241279,-0.539570286301873
12838,33,2,683.13,33.0,2.0,683.13,3,1,3,313,-0.5882668943540399,-0.4168611584578322,-0.32398265228422135
12839,2,14,5591.42,2.0,14.0,5591.42,5,3,5,535,-0.8992053673447528,2.056022227137716,1.6033557958379199
12840,143,4,2726.77,143.0,4.0,2726.77,2,1,5,215,0.5150631710968772,-0.004713927525240807,0.4784935555438273
12841,4,25,4022.35,4.0,25.0,4022.35,5,5,5,555,-0.8791448207001907,4.322831997266969,0.9872290105837871
12842,70,2,1118.99,70.0,2.0,1118.99,3,1,4,314,-0.2171467814296405,-0.4168611584578322,-0.15283348709664757
12843,65,8,1702.26,65.0,8.0,1702.26,3,2,4,324,-0.2672981480410458,0.8195805343399419,0.07619916921261723
12844,29,2,325.96000000000004,29.0,2.0,325.96000000000004,4,1,2,412,-0.6283879876431641,-0.4168611584578322,-0.4642326117437857
12845,267,4,354.09,267.0,4.0,354.09,1,1,2,112,1.7588170630597288,-0.004713927525240807,-0.4531868034183454
12847,22,1,871.54,22.0,1.0,871.54,4,1,3,413,-0.6985999008991315,-0.6229347739241279,-0.24999968937642808
12849,31,2,1050.8899999999999,31.0,2.0,1050.8899999999999,4,1,4,414,-0.6083274409986019,-0.4168611584578322,-0.1795743170633199
12851,96,1,135.18,96.0,1.0,135.18,2,1,1,211,0.043640324949667166,-0.6229347739241279,-0.5391462026548244
12852,294,1,311.55,294.0,1.0,311.55,1,1,2,112,2.0296344427613175,-0.6229347739241279,-0.4698909870715353
12853,134,6,1957.1000000000001,134.0,6.0,1957.1000000000001,2,1,4,214,0.4247907111963476,0.40743330340735057,0.17626720311433183
12854,78,3,1324.5,78.0,3.0,1324.5,2,1,4,214,-0.13690459485139198,-0.21078754299153651,-0.07213586644391898
12855,372,1,38.1,368.80999999999995,1.0,38.1,1,1,1,111,2.7799991900011634,-0.6229347739241279,-0.5772666104839661
12856,7,6,2179.93,7.0,6.0,2179.93,5,1,5,515,-0.8490540007333475,0.40743330340735057,0.2637658689215796
12857,210,2,1106.4,210.0,2.0,1106.4,1,1,4,114,1.1870914836897084,-0.4168611584578322,-0.1577772029451116
12863,52,1,521.2,52.0,1.0,521.2,3,1,3,313,-0.39769170123069963,-0.6229347739241279,-0.38756771243845395
12864,138,1,147.12,138.0,1.0,147.12,2,1,1,211,0.4649118044854718,-0.6229347739241279,-0.5344577223346766
12867,26,7,4036.82,26.0,7.0,4036.82,4,2,5,425,-0.6584788076100073,0.6135069188736463,0.9929109461141505
12868,185,6,1607.0600000000002,185.0,6.0,1607.0600000000002,1,1,4,114,0.9363346506326818,0.40743330340735057,0.03881698106537501
12871,84,2,380.64,84.0,2.0,380.64,2,1,2,212,-0.0767229549177056,-0.4168611584578322,-0.44276141376173517
12872,326,2,599.97,326.0,2.0,599.97,1,1,3,113,2.3506031890743118,-0.4168611584578322,-0.35663709310695946
12873,282,1,374.0,282.0,1.0,374.0,1,1,2,112,1.909271162893945,-0.6229347739241279,-0.44536874285099665
12875,143,2,343.2300000000001,143.0,2.0,343.2300000000001,2,1,2,212,0.5150631710968772,-0.4168611584578322,-0.4574512000914446
12877,3,12,1535.77,3.0,12.0,1535.77,5,2,4,524,-0.8891750940224717,1.6438749962051247,0.010823533659735204
12878,236,2,854.99,236.0,2.0,854.99,1,1,3,113,1.4478785900690159,-0.4168611584578322,-0.2564983785974035
12879,44,3,573.22,44.0,3.0,573.22,3,1,3,313,-0.47793388780894813,-0.21078754299153651,-0.3671410167722823
12881,275,1,298.0,275.0,1.0,298.0,1,1,2,112,1.8390592496379774,-0.6229347739241279,-0.4752116661618203
12882,9,2,1463.04,9.0,2.0,1463.04,5,1,4,514,-0.8289934540887853,-0.4168611584578322,-0.017735358608635933
12883,24,4,703.47,24.0,4.0,703.47,4,1,3,413,-0.6785393542545695,-0.004713927525240807,-0.31599574359814037
12884,88,1,309.05,88.0,1.0,309.05,2,1,2,212,-0.03660186162858134,-0.6229347739241279,-0.470872662180444
12885,63,3,1175.22,63.0,3.0,1175.22,3,1,4,314,-0.28735869468560793,-0.21078754299153651,-0.13075365054707366
12886,67,2,1378.4,67.0,2.0,1378.4,3,1,4,314,-0.24723760139648368,-0.4168611584578322,-0.050970951095847934
12888,214,2,354.12,214.0,2.0,354.12,1,1,2,112,1.2272125769788327,-0.4168611584578322,-0.45317502331703835
12890,24,1,380.46999999999997,24.0,1.0,380.46999999999997,4,1,2,412,-0.6785393542545695,-0.6229347739241279,-0.442828167669141
12891,185,3,331.0,185.0,3.0,331.0,1,1,2,112,0.9363346506326818,-0.21078754299153651,-0.46225355472422586
12893,30,1,188.14,30.0,1.0,188.14,4,1,1,411,-0.618357714320883,-0.6229347739241279,-0.518350397147703
12895,42,2,372.8,42.0,2.0,372.8,3,1,2,312,-0.49799443445351027,-0.4168611584578322,-0.44583994690327283
12897,204,2,216.5,204.0,2.0,216.5,1,1,1,111,1.126909843756022,-0.4168611584578322,-0.5072142747122431
12901,8,28,17654.54,8.0,28.0,17281.158099999997,5,5,5,555,-0.8390237274110665,4.941052843665856,6.193565764810467
12902,264,1,138.68,264.0,1.0,138.68,1,1,1,111,1.7287262430928858,-0.6229347739241279,-0.5377718575023522
