CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12426,194,1,582.73,1,1,2,112
12427,22,3,825.8,3,1,2,312
12468,188,2,729.5400000000001,1,1,2,112
12471,2,30,19824.05,4,3,4,434
12472,32,7,6572.11,2,3,4,234
12473,29,5,3938.5499999999997,3,2,4,324
12474,17,18,7375.79,3,3,4,334
12475,54,1,723.38,2,1,2,212
12476,15,11,6816.42,4,3,4,434
12477,23,6,13219.74,3,3,4,334
12479,11,1,527.2,4,1,1,411
12480,28,4,3281.63,3,2,3,323
12481,23,10,5596.32,3,3,4,334
12492,63,2,263.21000000000004,2,1,1,211
12497,81,1,1043.1,2,1,2,212
12498,21,3,403.70000000000005,3,1,1,311
12500,23,11,4257.82,3,3,4,334
12501,336,1,2169.39,1,1,3,113
12504,18,2,482.04999999999995,3,1,1,311
12516,78,2,1312.06,2,1,3,213
12517,28,5,2502.84,3,2,3,323
12518,1,5,2056.89,4,2,3,423
12519,64,1,340.84,2,1,1,211
12520,79,5,2634.26,2,2,3,223
12521,143,1,599.68,1,1,2,112
12522,39,2,192.72,2,1,1,211
12524,9,8,4485.72,4,3,4,434
12526,1,3,1316.66,4,1,3,413
12527,82,3,348.71000000000004,2,1,1,211
12528,9,6,1933.48,4,3,3,433
12530,59,4,1662.28,2,2,3,223
12531,15,1,125.22,4,1,1,411
12534,131,1,1089.18,1,1,3,113
12559,311,2,561.71,1,1,2,112
12560,5,3,2134.01,4,1,3,413
12561,303,1,238.85,1,1,1,111
12566,86,1,351.65,2,1,1,211
12569,2,32,4124.69,4,3,4,434
12572,9,2,1020.42,4,1,2,412
12580,247,1,415.7,1,1,1,111
12581,40,1,197.71,2,1,1,211
12585,234,2,2040.1,1,1,3,113
12590,211,2,9864.26,1,1,4,114
12592,92,2,437.6,2,1,1,211
12600,29,10,2599.04,3,3,3,333
12601,190,5,577.0600000000001,1,2,2,122
12603,22,1,739.1999999999999,3,1,2,312
12609,78,3,1126.85,2,1,3,213
12612,74,1,704.0400000000001,2,1,2,212
12613,57,5,3344.38,2,2,4,224
12614,278,1,315.6,1,1,1,111
12619,16,9,3641.24,4,3,4,434
12621,2,20,13689.67,4,3,4,434
12622,232,1,180.1,1,1,1,111
12623,276,1,305.1,1,1,1,111
12625,212,2,2683.82,1,1,3,113
12626,23,9,6620.48,3,3,4,334
12627,11,7,4478.53,4,3,4,434
12628,4,3,786.46,4,1,2,412
12633,59,4,2163.98,2,2,3,223
12635,90,2,1689.18,2,1,3,213
12642,25,3,1013.26,3,1,2,312
12644,130,1,477.91,1,1,1,111
12645,33,4,1775.18,2,2,3,223
12647,22,12,3722.82,3,3,4,334
12648,155,1,318.05,1,1,1,111
12649,107,3,623.51,1,1,2,112
12654,11,5,601.98,4,2,2,422
12658,19,1,686.05,3,1,2,312
12662,1,11,3849.78,4,3,4,434
12665,325,1,63.0,1,1,1,111
12668,12,4,3807.15,4,2,4,424
12673,5,2,610.52,4,1,2,412
12693,127,4,855.91,1,2,2,122
12701,80,2,797.71,2,1,2,212
12702,20,1,219.0,3,1,1,311
12703,71,1,283.55,2,1,1,211
12705,15,9,6868.29,4,3,4,434
12708,30,10,2712.91,3,3,3,333
12709,15,15,9736.52,4,3,4,434
12710,97,3,1149.02,1,1,3,113
12712,29,13,4396.13,3,3,4,334
12713,1,1,848.55,4,1,2,412
12720,3,25,5781.73,4,3,4,434
12738,372,1,155.35,1,1,1,111
13810,29,3,1499.01,3,1,3,313
13811,184,3,814.5,1,1,2,112
13812,42,3,539.0,2,1,2,212
13813,40,4,1366.8600000000001,2,2,3,223
13814,92,2,1579.12,2,1,3,213
13815,22,4,4027.36,3,2,4,324
13816,24,2,571.6700000000001,3,1,2,312
13817,29,2,382.98,3,1,1,311
14335,16,2,468.26,4,1,1,411
