CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score
12426,194,1,582.73,194.0,1.0,582.73,1,1,2,112
12427,21,3,825.8,21.0,3.0,825.8,4,1,3,413
12468,187,2,729.5400000000001,187.0,2.0,729.5400000000001,1,1,2,112
12471,2,30,19824.05,2.0,30.0,14119.076599999958,5,5,5,555
12472,32,7,6572.11,32.0,7.0,6572.11,3,2,5,325
12473,29,5,3938.5499999999997,29.0,5.0,3938.5499999999997,3,1,5,315
12474,17,18,7375.79,17.0,18.0,7375.79,4,3,5,435
12475,53,1,723.38,53.0,1.0,723.38,3,1,2,312
12476,15,11,6816.42,15.0,11.0,6816.42,4,2,5,425
12477,22,6,13219.74,22.0,6.0,13219.74,4,1,5,415
12479,11,1,527.2,11.0,1.0,527.2,5,1,2,512
12480,28,4,3281.63,28.0,4.0,3281.63,3,1,4,314
12481,22,10,5596.32,22.0,10.0,5596.32,4,2,5,425
12492,63,2,263.21000000000004,63.0,2.0,263.21000000000004,2,1,1,211
12497,81,1,1043.1,81.0,1.0,1043.1,2,1,3,213
12498,21,3,403.70000000000005,21.0,3.0,403.70000000000005,4,1,1,411
12500,23,11,4257.82,23.0,11.0,4257.82,4,2,5,425
12501,336,1,2169.39,336.0,1.0,2169.39,1,1,4,114
12504,18,2,482.04999999999995,18.0,2.0,482.04999999999995,4,1,2,412
12516,77,2,1312.06,77.0,2.0,1312.06,2,1,3,213
12517,28,5,2502.84,28.0,5.0,2502.84,3,1,4,314
12518,0,5,2056.89,0.0,5.0,2056.89,5,1,4,514
12519,63,1,340.84,63.0,1.0,340.84,2,1,1,211
12520,79,5,2634.26,79.0,5.0,2634.26,2,1,4,214
12521,142,1,599.68,142.0,1.0,599.68,1,1,2,112
12522,39,2,192.72,39.0,2.0,192.72,3,1,1,311
12524,9,8,4485.72,9.0,8.0,4485.72,5,2,5,525
12526,0,3,1316.66,0.0,3.0,1316.66,5,1,3,513
12527,81,3,348.71000000000004,81.0,3.0,348.71000000000004,2,1,1,211
12528,9,6,1933.48,9.0,6.0,1933.48,5,1,4,514
12530,59,4,1662.28,59.0,4.0,1662.28,2,1,3,213
12531,14,1,125.22,14.0,1.0,125.22,5,1,1,511
12534,130,1,1089.18,130.0,1.0,1089.18,1,1,3,113
12559,310,2,561.71,310.0,2.0,561.71,1,1,2,112
12560,5,3,2134.01,5.0,3.0,2134.01,5,1,4,514
12561,302,1,238.85,302.0,1.0,238.85,1,1,1,111
12566,86,1,351.65,86.0,1.0,351.65,2,1,1,211
12569,2,32,4124.69,2.0,30.139999999999986,4124.69,5,5,5,555
12572,8,2,1020.42,8.0,2.0,1020.42,5,1,3,513
12580,246,1,415.7,246.0,1.0,415.7,1,1,1,111
12581,39,1,197.71,39.0,1.0,197.71,3,1,1,311
