CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12346,326,1,77183.6,1,1,4,114
12747,2,11,4196.01,4,3,4,434
12748,1,209,33719.73,4,3,4,434
12749,4,5,4090.88,4,2,4,424
12823,75,5,1759.5,2,2,4,224
12830,38,6,6814.64,3,3,4,334
12836,59,4,2612.86,2,2,4,224
12839,3,14,5591.42,4,3,4,434
12840,144,4,2726.77,1,2,4,124
12841,5,25,4022.35,4,3,4,434
12843,66,8,1702.26,2,3,4,234
12853,135,6,1957.1000000000001,2,3,4,234
12856,8,6,2179.93,4,3,4,434
12867,26,7,4036.82,3,3,4,334
12868,186,6,1607.0600000000002,1,3,4,134
12901,9,28,17654.54,4,3,4,434
12906,12,5,2919.81,4,2,4,424
12909,40,5,2178.67,3,2,4,324
12910,23,8,3075.04,3,3,4,334
12912,3,5,1662.3,4,2,4,424
12913,5,5,2483.63,4,2,4,424
12916,139,4,3006.15,2,2,4,224
12921,9,37,16587.09,4,3,4,434
12928,35,5,2062.7000000000003,3,2,4,324
12931,22,15,42055.96,3,3,4,334
12935,2,7,2160.7,4,3,4,434
12939,64,8,11581.8,2,3,4,234
12947,144,6,1603.99,1,3,4,134
12948,16,7,2064.95,4,3,4,434
12949,31,8,4167.22,3,3,4,334
12950,2,3,1843.0,4,2,4,424
12955,1,11,4757.16,4,3,4,434
12957,10,8,4017.54,4,3,4,434
12963,8,8,1856.63,4,3,4,434
12967,358,2,1660.9,1,1,4,114
12971,4,86,11189.91,4,3,4,434
12980,158,9,7374.900000000001,1,3,4,134
12989,3,15,6924.110000000001,4,3,4,434
13001,4,13,9818.82,4,3,4,434
13004,12,18,5655.91,4,3,4,434
13012,9,8,1661.8400000000001,4,3,4,434
13013,1,13,4810.9400000000005,4,3,4,434
13014,11,10,3466.2799999999997,4,3,4,434
13015,53,5,3346.28,2,2,4,224
13018,16,28,7277.7,4,3,4,434
13021,4,9,2616.38,4,3,4,434
13027,114,6,6912.0,2,3,4,234
13047,32,10,3237.54,3,3,4,334
13048,14,4,1835.91,4,2,4,424
13050,15,17,5836.86,4,3,4,434
13069,1,24,4436.12,4,3,4,434
13078,3,26,12627.94,4,3,4,434
13081,12,11,28337.38,4,3,4,434
13082,126,9,3613.63,2,3,4,234
13089,3,97,58825.83,4,3,4,434
13090,9,14,8910.82,4,3,4,434
13093,276,8,7832.47,1,3,4,134
13094,21,12,1927.3200000000002,3,3,4,334
13097,33,10,6010.42,3,3,4,334
13098,1,28,28882.44,4,3,4,434
13102,1,24,6424.09,4,3,4,434
13113,1,24,12245.960000000001,4,3,4,434
13115,12,4,2294.78,4,2,4,424
13124,90,3,3866.33,2,2,4,224
13126,5,8,2099.64,4,3,4,434
13134,86,4,1793.58,2,2,4,224
13135,197,1,3096.0,1,1,4,114
13136,56,5,2607.61,2,2,4,224
13137,11,8,3650.41,4,3,4,434
13139,16,7,5064.94,4,3,4,434
13141,85,5,2388.75,2,2,4,224
13148,29,12,3707.12,3,3,4,334
13149,14,4,1676.06,4,2,4,424
13157,49,4,1741.22,3,2,4,324
13162,122,4,1688.29,2,2,4,224
13174,16,3,2817.03,4,2,4,424
13178,26,11,5725.47,3,3,4,334
13183,8,9,3957.78,4,3,4,434
13184,15,10,1701.29,4,3,4,434
13196,11,4,1797.78,4,2,4,424
13198,10,6,3401.2400000000002,4,3,4,434
13199,4,38,9817.12,4,3,4,434
13209,30,8,5891.61,3,3,4,334
13224,60,2,2155.95,2,1,4,214
13225,3,7,6463.84,4,3,4,434
13230,4,14,2806.97,4,3,4,434
13246,18,6,1987.3,4,3,4,434
13263,1,35,7454.07,4,3,4,434
13265,53,5,2107.66,2,2,4,224
13266,11,12,3834.2599999999998,4,3,4,434
13267,3,19,4521.49,4,3,4,434
13268,18,11,3214.69,4,3,4,434
13269,1,15,5346.2300000000005,4,3,4,434
13285,23,4,2709.12,3,2,4,324
13297,8,4,2089.85,4,2,4,424
13305,4,10,2000.86,4,3,4,434
13316,37,4,5977.7300000000005,3,2,4,324
13317,66,6,2273.68,2,3,4,234
13319,5,26,10845.550000000001,4,3,4,434
13324,36,10,7121.95,3,3,4,334
13327,39,8,3627.77,3,3,4,334
13334,82,3,3536.82,2,2,4,224
13340,45,7,10736.48,3,3,4,334
13344,68,3,2543.72,2,2,4,224
13362,9,4,3090.7400000000002,4,2,4,424
13365,34,2,2225.37,3,1,4,314
13373,61,3,3312.25,2,2,4,224
13381,32,6,3639.31,3,3,4,334
13384,31,7,4151.93,3,3,4,334
13394,2,8,2520.02,4,3,4,434
13408,2,62,28117.04,4,3,4,434
13418,12,18,6127.43,4,3,4,434
13421,40,2,1851.08,3,1,4,314
13422,64,1,2626.3,2,1,4,214
13425,108,3,1624.21,2,2,4,224
13426,1,10,3641.32,4,3,4,434
13435,5,7,3809.8900000000003,4,3,4,434
13437,14,7,3408.06,4,3,4,434
13448,17,6,3539.37,4,3,4,434
13450,27,6,2043.7199999999998,3,3,4,334
13451,26,5,2976.15,3,2,4,324
13456,18,6,1766.72,4,3,4,434
13458,7,14,9646.57,4,3,4,434
13468,2,37,5704.97,4,3,4,434
13471,1,4,2531.58,4,2,4,424
13481,46,5,1804.56,3,2,4,324
13488,17,13,8968.31,4,3,4,434
13495,8,5,2044.8700000000001,4,2,4,424
13507,3,4,2479.16,4,2,4,424
13510,1,4,1791.56,4,2,4,424
13517,60,3,2128.42,2,2,4,224
13523,33,5,3964.88,3,2,4,324
13527,34,7,2287.51,3,3,4,334
13534,2,25,5870.08,4,3,4,434
13536,1,7,3448.29,4,3,4,434
13552,66,12,3740.07,2,3,4,234
13555,74,4,4149.28,2,2,4,224
13562,82,3,1799.33,2,2,4,224
13564,144,3,1749.02,1,2,4,124
13571,13,12,2092.32,4,3,4,434
13576,10,18,6717.34,4,3,4,434
13577,25,4,1687.6000000000001,3,2,4,324
13588,16,9,2478.95,4,3,4,434
13590,11,6,1981.92,4,3,4,434
13593,108,5,2037.0800000000002,2,2,4,224
13599,1,21,5153.67,4,3,4,434
13614,24,4,1610.46,3,2,4,324
13627,59,5,1638.47,2,2,4,224
13629,23,11,7792.36,3,3,4,334
13630,5,7,2031.78,4,3,4,434
13631,100,11,3070.42,2,3,4,234
13632,25,5,2121.27,3,2,4,324
13644,16,4,2624.26,4,2,4,424
13647,10,4,1678.1200000000001,4,2,4,424
13650,17,6,1836.34,4,3,4,434
13654,43,6,2707.33,3,3,4,334
13658,10,5,2639.17,4,2,4,424
13668,3,21,6363.59,4,3,4,434
13680,1,4,3722.42,4,2,4,424
13685,3,7,3119.44,4,3,4,434
13694,4,50,65039.62,4,3,4,434
13695,31,15,2504.13,3,3,4,334
13700,26,10,2265.12,3,3,4,334
13704,5,9,2308.06,4,3,4,434
13709,4,13,6328.05,4,3,4,434
13722,132,3,2375.41,2,2,4,224
13725,50,8,1980.56,3,3,4,334
13735,25,4,2885.2400000000002,3,2,4,324
13742,17,12,3131.02,4,3,4,434
13750,54,5,1647.26,2,2,4,224
13755,4,9,2161.35,4,3,4,434
13756,2,14,5189.52,4,3,4,434
13758,12,7,3190.55,4,3,4,434
13763,63,1,1714.96,2,1,4,214
13767,2,37,17220.36,4,3,4,434
13769,2,10,2796.51,4,3,4,434
13771,64,4,2634.45,2,2,4,224
13777,1,33,25977.16,4,3,4,434
13784,10,11,2462.79,4,3,4,434
13798,1,57,37153.85,4,3,4,434
13802,139,3,4599.42,2,2,4,224
13804,31,7,2635.79,3,3,4,334
13808,6,5,1747.66,4,2,4,424
13824,33,5,1698.94,3,2,4,324
13831,16,6,2202.99,4,3,4,434
13842,59,9,3385.62,2,3,4,234
13850,129,1,1595.48,2,1,4,214
13851,96,3,2651.46,2,2,4,224
13854,9,25,8109.5199999999995,4,3,4,434
13862,18,8,2209.36,4,3,4,434
13868,7,2,3192.54,4,1,4,414
13869,123,4,3104.95,2,2,4,224
13870,2,8,2770.94,4,3,4,434
13871,23,13,6403.25,3,3,4,334
13875,54,5,1786.79,2,2,4,224
13880,21,13,3219.77,3,3,4,334
13881,3,20,17159.52,4,3,4,434
13883,11,5,2674.48,4,2,4,424
13890,1,10,1883.8100000000002,4,3,4,434
13895,28,4,2593.07,3,2,4,324
13901,72,5,2867.2,2,2,4,224
13908,80,4,2369.55,2,2,4,224
13911,57,9,2580.91,2,3,4,234
13924,2,6,1838.8500000000001,4,3,4,434
13941,22,5,5112.96,3,2,4,324
13949,3,6,2427.32,4,3,4,434
13952,218,2,3251.071,1,1,4,114
13953,7,7,3515.68,4,3,4,434
13969,7,18,9053.94,4,3,4,434
13971,19,8,2758.26,3,3,4,334
13975,31,6,2526.28,3,3,4,334
13982,39,4,1871.81,3,2,4,324
13983,30,12,2603.43,3,3,4,334
13985,4,15,7060.13,4,3,4,434
13988,20,6,4147.96,3,3,4,334
13993,43,9,3466.36,3,3,4,334
13994,4,6,2313.14,4,3,4,434
13999,10,12,3901.81,4,3,4,434
14001,46,3,2043.0800000000002,3,2,4,324
14004,43,7,4582.64,3,3,4,334
14005,10,5,2874.72,4,2,4,424
14030,18,8,2360.09,4,3,4,434
14031,7,19,17286.86,4,3,4,434
14032,2,11,2975.59,4,3,4,434
14040,41,12,3614.92,3,3,4,334
14045,109,4,1659.75,2,2,4,224
14049,17,4,5681.72,4,2,4,424
14051,1,23,15610.390000000001,4,3,4,434
14056,1,23,8214.65,4,3,4,434
14057,24,17,6217.96,3,3,4,334
14060,5,19,6140.42,4,3,4,434
14062,10,12,10464.85,4,3,4,434
14085,2,18,4448.54,4,3,4,434
14088,10,13,50491.81,4,3,4,434
14092,8,14,4076.91,4,3,4,434
14096,4,17,65164.79,4,3,4,434
14099,16,11,3104.17,4,3,4,434
14101,74,6,5976.79,2,3,4,234
14107,52,7,2703.23,2,3,4,234
14110,4,12,5683.15,4,3,4,434
14112,23,7,2915.15,3,3,4,334
14113,4,4,1840.42,4,2,4,424
14121,4,4,2780.15,4,2,4,424
14125,11,3,2740.43,4,2,4,424
14132,2,11,3586.0299999999997,4,3,4,434
14135,2,15,4690.31,4,3,4,434
14145,47,4,3742.2,3,2,4,324
14146,9,5,4191.0,4,2,4,424
14159,20,11,4693.01,3,3,4,334
14163,87,4,2445.91,2,2,4,224
14164,71,2,1631.77,2,1,4,214
14175,60,3,3222.3,2,2,4,224
14178,9,7,1620.93,4,3,4,434
14180,11,25,4748.52,4,3,4,434
14188,31,6,2054.36,3,3,4,334
14189,2,15,4654.08,4,3,4,434
14191,2,13,4684.76,4,3,4,434
14194,5,21,11349.52,4,3,4,434
14209,11,6,2073.43,4,3,4,434
14210,106,6,1905.8400000000001,2,3,4,234
14211,53,9,2241.1,2,3,4,234
14215,12,6,1789.72,4,3,4,434
14216,3,4,1839.3,4,2,4,424
14217,2,17,2004.98,4,3,4,434
14221,42,9,3432.8,3,3,4,334
14226,29,5,2232.19,3,2,4,324
14227,26,10,3350.96,3,3,4,334
14232,43,5,2048.07,3,2,4,324
14235,75,5,3144.86,2,2,4,224
14239,43,11,2380.85,3,3,4,334
14243,9,10,2588.77,4,3,4,434
14245,220,2,1693.45,1,1,4,114
14250,7,3,1904.05,4,2,4,424
14251,2,5,2879.7000000000003,4,2,4,424
14257,64,5,3099.7200000000003,2,2,4,224
14258,9,9,12669.98,4,3,4,434
14262,8,8,2618.23,4,3,4,434
14282,3,15,3729.34,4,3,4,434
14285,21,4,1910.01,3,2,4,324
14286,24,3,4628.75,3,2,4,324
14290,11,5,2314.65,4,2,4,424
14291,2,11,3883.25,4,3,4,434
14292,8,9,4871.93,4,3,4,434
14298,8,44,51527.3,4,3,4,434
14299,8,9,3965.62,4,3,4,434
14305,71,3,1858.96,2,2,4,224
14306,51,2,2093.32,3,1,4,314
14307,89,6,2995.72,2,3,4,234
14309,8,9,2352.53,4,3,4,434
14312,47,6,1611.59,3,3,4,334
14315,45,6,2481.13,3,3,4,334
14329,17,7,5014.84,4,3,4,434
14334,17,8,2552.21,4,3,4,434
14336,17,4,1614.91,4,2,4,424
14341,45,8,2182.28,3,3,4,334
14360,32,4,2128.23,3,2,4,324
14364,109,8,3717.35,2,3,4,234
14367,8,16,9261.52,4,3,4,434
14387,33,3,1770.56,3,2,4,324
14388,10,8,3212.84,4,3,4,434
14390,10,9,4652.82,4,3,4,434
14395,2,9,3507.71,4,3,4,434
14397,3,19,2612.96,4,3,4,434
14401,4,13,4051.48,4,3,4,434
14407,107,6,2157.73,2,3,4,234
14408,11,7,2606.53,4,3,4,434
14409,71,6,2059.4500000000003,2,3,4,234
