CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score
12346,325,1,77183.6,325.0,1.0,17281.158099999997,1,1,5,115
12747,2,11,4196.01,2.0,11.0,4196.01,5,2,5,525
12748,0,209,33719.73,0.0,29.809999999999945,17281.158099999997,5,5,5,555
12749,3,5,4090.88,3.0,5.0,4090.88,5,1,5,515
12823,74,5,1759.5,74.0,5.0,1759.5,2,1,4,214
12830,37,6,6814.64,37.0,6.0,6814.64,3,1,5,315
12836,59,4,2612.86,59.0,4.0,2612.86,3,1,5,315
12839,2,14,5591.42,2.0,14.0,5591.42,5,3,5,535
12840,143,4,2726.77,143.0,4.0,2726.77,2,1,5,215
12841,4,25,4022.35,4.0,25.0,4022.35,5,5,5,555
12843,65,8,1702.26,65.0,8.0,1702.26,3,2,4,324
12853,134,6,1957.1000000000001,134.0,6.0,1957.1000000000001,2,1,4,214
12856,7,6,2179.93,7.0,6.0,2179.93,5,1,5,515
12867,26,7,4036.82,26.0,7.0,4036.82,4,2,5,425
12868,185,6,1607.0600000000002,185.0,6.0,1607.0600000000002,1,1,4,114
12901,8,28,17654.54,8.0,28.0,17281.158099999997,5,5,5,555
12906,11,5,2919.81,11.0,5.0,2919.81,5,1,5,515
12909,39,5,2178.67,39.0,5.0,2178.67,3,1,5,315
12910,23,8,3075.04,23.0,8.0,3075.04,4,2,5,425
12912,2,5,1662.3,2.0,5.0,1662.3,5,1,4,514
12913,4,5,2483.63,4.0,5.0,2483.63,5,1,5,515
12916,138,4,3006.15,138.0,4.0,3006.15,2,1,5,215
12921,9,37,16587.09,9.0,29.809999999999945,16587.09,5,5,5,555
12928,35,5,2062.7000000000003,35.0,5.0,2062.7000000000003,3,1,5,315
12931,21,15,42055.96,21.0,15.0,17281.158099999997,4,3,5,435
12935,2,7,2160.7,2.0,7.0,2160.7,5,2,5,525
12939,64,8,11581.8,64.0,8.0,11581.8,3,2,5,325
12947,143,6,1603.99,143.0,6.0,1603.99,2,1,4,214
