CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score,Recency_scaled,Frequency_scaled,Monetary_scaled
12346,325,1,77183.6,325.0,1.0,17281.158099999997,1,1,5,115,2.9597813938891293,-0.7427443276359943,5.551502179587182
12747,2,11,4196.01,2.0,11.0,4196.01,5,2,5,525,-0.8270777627318928,1.1471576346033463,0.8203717810284535
12748,0,209,33719.73,0.0,29.809999999999945,17281.158099999997,5,5,5,555,-0.8505258070453356,4.702063225575536,5.551502179587182
12749,3,5,4090.88,3.0,5.0,4090.88,5,1,5,515,-0.8153537405751714,0.013216457259741913,0.7823604620124708
12823,74,5,1759.5,74.0,5.0,1759.5,2,1,4,214,0.017051832552050127,0.013216457259741913,-0.06058473847722406
12830,37,6,6814.64,37.0,6.0,6814.64,3,1,5,315,-0.41673698724664276,0.20220665348367597,1.7671765019912864
12836,59,4,2612.86,59.0,4.0,2612.86,3,1,5,315,-0.15880849979877132,-0.17577373896419216,0.2479602933450812
12839,2,14,5591.42,2.0,14.0,5591.42,5,3,5,535,-0.8270777627318928,1.7141282232751487,1.3249030724589903
12840,143,4,2726.77,143.0,4.0,2726.77,2,1,5,215,0.8260093613658288,-0.17577373896419216,0.28914615227317575
12841,4,25,4022.35,4.0,25.0,4022.35,5,5,5,555,-0.80362971841845,3.7930203817384234,0.7575824187121255
12843,65,8,1702.26,65.0,8.0,1702.26,3,2,4,324,-0.08846436685844274,0.5801870459315441,-0.08128071394069639
12853,134,6,1957.1000000000001,134.0,6.0,1957.1000000000001,2,1,4,214,0.7204931619553359,0.20220665348367597,0.010860487790807673
12856,7,6,2179.93,7.0,6.0,2179.93,5,1,5,515,-0.7684576519482856,0.20220665348367597,0.09142799674478276
12867,26,7,4036.82,26.0,7.0,4036.82,4,2,5,425,-0.5457012309705785,0.39119684970761004,0.7628142629636359
12868,185,6,1607.0600000000002,185.0,6.0,1607.0600000000002,1,1,4,114,1.3184182919481289,0.20220665348367597,-0.11570169339776422
12901,8,28,17654.54,8.0,28.0,17281.158099999997,5,5,5,555,-0.7567336297915642,4.359990970410226,5.551502179587182
12906,11,5,2919.81,11.0,5.0,2919.81,5,1,5,515,-0.7215615633214,0.013216457259741913,0.3589426425504067
12909,39,5,2178.67,39.0,5.0,2178.67,3,1,5,315,-0.39328894293319994,0.013216457259741913,0.09097242495785107
12910,23,8,3075.04,23.0,8.0,3075.04,4,2,5,425,-0.5808732974407428,0.5801870459315441,0.4150683635705816
12912,2,5,1662.3,2.0,5.0,1662.3,5,1,4,514,-0.8270777627318928,0.013216457259741913,-0.0957288477548186
12913,4,5,2483.63,4.0,5.0,2483.63,5,1,5,515,-0.80362971841845,0.013216457259741913,0.2012352599917526
12916,138,4,3006.15,138.0,4.0,3006.15,2,1,5,215,0.7673892505822216,-0.17577373896419216,0.39016015690254163
12921,9,37,16587.09,9.0,29.809999999999945,16587.09,5,5,5,555,-0.7450096076348428,4.702063225575536,5.300551509294051
12928,35,5,2062.7000000000003,35.0,5.0,2062.7000000000003,3,1,5,315,-0.44018503156008565,0.013216457259741913,0.049041742314614126
12931,21,15,42055.96,21.0,15.0,17281.158099999997,4,3,5,435,-0.6043213417541856,1.9031184194990827,5.551502179587182
12935,2,7,2160.7,2.0,7.0,2160.7,5,2,5,525,-0.8270777627318928,0.39119684970761004,0.08447510352041915
12939,64,8,11581.8,64.0,8.0,11581.8,3,2,5,325,-0.10018838901516416,0.5801870459315441,3.4908142796021666
12947,143,6,1603.99,143.0,6.0,1603.99,2,1,4,214,0.8260093613658288,0.20220665348367597,-0.11681169767227267
12948,16,7,2064.95,16.0,7.0,2064.95,4,2,5,425,-0.6629414525377928,0.39119684970761004,0.04985526336270643
12949,30,8,4167.22,30.0,8.0,4167.22,4,2,5,425,-0.4988051423436928,0.5801870459315441,0.8099623272619726
12950,2,3,1843.0,2.0,3.0,1843.0,5,1,4,514,-0.8270777627318928,-0.3647639351881262,-0.030394068470236985
12955,1,11,4757.16,1.0,11.0,4757.16,5,2,5,525,-0.8388017848886142,1.1471576346033463,1.0232639304227145
12957,9,8,4017.54,9.0,8.0,4017.54,5,2,5,525,-0.7450096076348428,0.5801870459315441,0.755843291493759
12963,8,8,1856.63,8.0,8.0,1856.63,5,2,4,524,-0.7567336297915642,0.5801870459315441,-0.02546593874334792
12967,358,2,1660.9,358.0,2.0,1660.9,1,1,4,114,3.3466741250609364,-0.5537541314120602,-0.0962350386291872
12971,3,86,11189.91,3.0,29.809999999999945,11189.91,5,5,5,555,-0.8153537405751714,4.702063225575536,3.349120606919075
12980,157,9,7374.900000000001,157.0,9.0,7374.900000000001,2,2,5,225,0.9901456715599288,0.7691772421554781,1.9697468586154132
12989,3,15,6924.110000000001,3.0,15.0,6924.110000000001,5,3,5,535,-0.8153537405751714,1.9031184194990827,1.806757012717812
13001,4,13,9818.82,4.0,13.0,9818.82,5,3,5,535,-0.80362971841845,1.5251380270512145,2.8533825741061416
13004,11,18,5655.91,11.0,18.0,5655.91,5,3,5,535,-0.7215615633214,2.4700890081708846,1.3482203935218717
13012,9,8,1661.8400000000001,9.0,8.0,1661.8400000000001,5,2,4,524,-0.7450096076348428,0.5801870459315441,-0.09589516761353965
13013,1,13,4810.9400000000005,1.0,13.0,4810.9400000000005,5,3,5,535,-0.8388017848886142,1.5251380270512145,1.0427088912966758
13014,10,10,3466.2799999999997,10.0,10.0,3466.2799999999997,5,2,5,525,-0.7332855854781214,0.9581674383794122,0.5565270190620021
13015,53,5,3346.28,53.0,5.0,3346.28,3,1,5,315,-0.2291526327390999,0.013216457259741913,0.513139229830404
13018,16,28,7277.7,16.0,28.0,7277.7,4,5,5,455,-0.6629414525377928,4.359990970410226,1.9346027493378184
13021,4,9,2616.38,4.0,9.0,2616.38,5,2,5,525,-0.80362971841845,0.7691772421554781,0.2492330018292081
13027,113,6,6912.0,113.0,6.0,6912.0,2,1,5,215,0.4742886966641859,0.20220665348367597,1.802378461654523
13047,31,10,3237.54,31.0,10.0,3237.54,4,2,5,425,-0.48708112018697136,0.9581674383794122,0.47382266148837077
13048,14,4,1835.91,14.0,4.0,1835.91,4,1,4,414,-0.6863894968512356,-0.17577373896419216,-0.032957563684003884
13050,14,17,5836.86,14.0,17.0,5836.86,4,3,5,435,-0.6863894968512356,2.2810988119469506,1.413645564034019
13069,0,24,4436.12,0.0,24.0,4436.12,5,4,5,545,-0.8505258070453356,3.604030185514489,0.9071871316317787
13078,3,26,12627.94,3.0,26.0,12627.94,5,5,5,555,-0.8153537405751714,3.9820105779623574,3.869061794825034
13081,11,11,28337.38,11.0,11.0,17281.158099999997,5,2,5,525,-0.7215615633214,1.1471576346033463,5.551502179587182
13082,126,9,3613.63,126.0,9.0,3613.63,2,2,5,225,0.6267009847015644,0.7691772421554781,0.6098036085893022
13089,2,97,58825.83,2.0,29.809999999999945,17281.158099999997,5,5,5,555,-0.8270777627318928,4.702063225575536,5.551502179587182
13090,8,14,8910.82,8.0,14.0,8910.82,5,3,5,535,-0.7567336297915642,1.7141282232751487,2.5250816355870485
13093,275,8,7832.47,275.0,8.0,7832.47,1,2,5,125,2.3735802860530577,0.5801870459315441,2.1351881146045995
13094,21,12,1927.3200000000002,21.0,12.0,1927.3200000000002,4,2,4,424,-0.6043213417541856,1.3361478308272803,9.308476316606732e-05
13097,32,10,6010.42,32.0,10.0,6010.42,4,2,5,425,-0.47535709803024995,0.9581674383794122,1.4763987698593206
13098,1,28,28882.44,1.0,28.0,17281.158099999997,5,5,5,555,-0.8388017848886142,4.359990970410226,5.551502179587182
13102,1,24,6424.09,1.0,24.0,6424.09,5,4,5,545,-0.8388017848886142,3.604030185514489,1.6259673262879475
13113,0,24,12245.960000000001,0.0,24.0,12245.960000000001,5,4,5,545,-0.8505258070453356,3.604030185514489,3.7309512304026518
