CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12820,3,4,942.34,4,2,3,423
12822,71,2,948.88,2,1,3,213
12824,60,1,397.12,2,1,2,212
12826,3,7,1474.72,4,3,3,433
12827,6,3,430.15000000000003,4,2,2,422
12828,3,6,1018.71,4,3,3,433
12832,32,2,383.03,3,1,2,312
12833,145,1,417.38,1,1,2,112
12834,283,1,312.38,1,1,2,112
12838,34,2,683.13,3,1,3,313
12842,70,2,1118.99,2,1,3,213
12844,29,2,325.96000000000004,3,1,2,312
12845,267,4,354.09,1,2,2,122
12847,22,1,871.54,3,1,3,313
12849,31,2,1050.8899999999999,3,1,3,313
12852,295,1,311.55,1,1,2,112
12854,79,3,1324.5,2,2,3,223
12857,211,2,1106.4,1,1,3,113
12863,52,1,521.2,2,1,2,212
12871,84,2,380.64,2,1,2,212
12872,327,2,599.97,1,1,2,112
12873,282,1,374.0,1,1,2,112
12875,143,2,343.2300000000001,2,1,2,212
12877,4,12,1535.77,4,3,3,433
12878,236,2,854.99,1,1,3,113
12879,45,3,573.22,3,2,2,322
12882,9,2,1463.04,4,1,3,413
12883,25,4,703.47,3,2,3,323
12884,88,1,309.05,2,1,2,212
12885,63,3,1175.22,2,2,3,223
12886,68,2,1378.4,2,1,3,213
12888,214,2,354.12,1,1,2,112
12890,24,1,380.46999999999997,3,1,2,312
12891,186,3,331.0,1,2,2,122
12895,42,2,372.8,3,1,2,312
12904,18,2,509.58,4,1,2,412
12908,176,2,750.0,1,1,3,113
12915,149,2,363.65,1,1,2,112
12917,128,1,594.0,2,1,2,212
12919,8,6,1335.19,4,3,3,433
12922,161,1,405.38,1,1,2,112
12924,88,4,933.7,2,2,3,223
12925,5,2,694.05,4,1,3,413
12930,78,2,415.8,2,1,2,212
12933,24,3,607.53,3,2,2,322
12936,17,4,1063.9,4,2,3,423
12937,15,4,1504.27,4,2,3,423
12940,55,2,913.54,2,1,3,213
12942,131,3,683.9,2,2,3,223
12944,36,2,604.51,3,1,2,312
12945,288,1,462.95,1,1,2,112
12951,9,6,1064.07,4,3,3,433
12952,6,4,1387.79,4,2,3,423
12953,10,1,329.85,4,1,2,412
12965,89,1,771.91,2,1,3,213
12970,7,4,452.24,4,2,2,422
12976,212,1,738.6,1,1,3,113
12981,30,2,372.21999999999997,3,1,2,312
12982,243,1,390.54,1,1,2,112
12985,1,2,1239.38,4,1,3,413
12987,74,2,558.7,2,1,2,212
12988,292,1,535.32,1,1,2,112
12990,31,3,409.5,3,2,2,322
12991,23,2,503.76,3,1,2,312
12993,23,4,414.76,3,2,2,322
12994,4,3,974.4200000000001,4,2,3,423
12997,22,4,1226.89,3,2,3,323
12999,196,3,455.88,1,2,2,122
13000,107,3,534.85,2,2,2,222
13005,174,2,513.7,1,1,2,112
13016,73,3,789.89,2,2,3,223
13023,64,2,689.9,2,1,3,213
13026,1,5,975.36,4,2,3,423
13028,23,2,661.3199999999999,3,1,3,313
13029,31,3,1247.5,3,2,3,323
13030,11,2,799.48,4,1,3,413
13032,52,2,1010.18,2,1,3,213
13034,55,2,642.77,2,1,2,212
13035,74,2,921.88,2,1,3,213
13037,138,3,881.07,2,2,3,223
13038,80,3,908.46,2,2,3,223
13040,9,2,676.99,4,1,3,413
13043,273,1,516.42,1,1,2,112
13044,291,1,560.47,1,1,2,112
13045,99,1,305.28000000000003,2,1,2,212
13046,31,2,629.31,3,1,2,312
13049,64,2,656.6800000000001,2,1,3,213
13052,212,1,348.15000000000003,1,1,2,112
13055,78,3,1214.41,2,2,3,223
13060,254,1,307.53,1,1,2,112
13062,191,1,346.98,1,1,2,112
13064,13,4,1119.49,4,2,3,423
13066,24,2,470.8,3,1,2,312
13068,10,2,344.0,4,1,2,412
13075,130,1,919.61,2,1,3,213
13077,1,4,729.27,4,2,3,423
13083,4,2,303.75,4,1,2,412
13085,158,2,416.08000000000004,1,1,2,112
13091,28,1,345.82,3,1,2,312
13092,71,5,477.83,2,2,2,222
13104,3,6,1098.48,4,3,3,433
13107,44,4,1531.6200000000001,3,2,3,323
13108,373,1,350.06,1,1,2,112
13109,60,2,786.54,2,1,3,213
13110,31,7,1488.67,3,3,3,333
13116,138,1,501.14,2,1,2,212
13117,22,8,984.91,3,3,3,333
13118,20,5,1197.81,3,2,3,323
13122,94,2,922.39,2,1,3,213
13131,23,3,1073.3,3,2,3,323
13138,22,6,962.39,3,3,3,333
13140,108,3,423.72,2,2,2,222
13142,19,1,307.09,3,1,2,312
13145,40,4,618.52,3,2,2,322
13147,10,4,712.8000000000001,4,2,3,423
13151,296,1,1257.8700000000001,1,1,3,113
13153,6,1,486.22,4,1,2,412
13155,33,4,971.76,3,2,3,323
13158,95,4,1201.06,2,2,3,223
13159,9,4,1437.85,4,2,3,423
13165,46,2,1021.48,3,1,3,313
13166,283,1,417.2,1,1,2,112
13167,19,4,791.33,3,2,3,323
13168,36,4,1319.19,3,2,3,323
13169,64,2,712.88,2,1,3,213
13171,22,3,468.41,3,2,2,322
13173,4,2,353.65,4,1,2,412
13176,46,1,492.84,3,1,2,312
13186,40,3,1575.89,3,2,3,323
13192,95,2,911.94,2,1,3,213
13200,19,4,870.09,3,2,3,323
13203,10,4,869.46,4,2,3,423
13208,59,6,1223.9,2,3,3,233
13210,94,1,353.48,2,1,2,212
13211,10,3,1197.42,4,2,3,423
13212,20,3,788.08,3,2,3,323
13213,57,5,1520.58,2,2,3,223
13216,268,1,333.74,1,1,2,112
13217,122,3,533.98,2,2,2,222
13220,78,4,819.2900000000001,2,2,3,223
13221,240,2,847.41,1,1,3,113
13228,81,1,358.0,2,1,2,212
13232,13,7,1357.6,4,3,3,433
13233,74,2,605.12,2,1,2,212
13235,212,1,1031.07,1,1,3,113
13236,24,2,744.85,3,1,3,313
13238,17,4,700.73,4,2,3,423
13239,262,1,329.56,1,1,2,112
13240,96,4,663.65,2,2,3,223
13243,203,1,600.07,1,1,2,112
13245,51,1,430.5,3,1,2,312
13247,18,4,501.12,4,2,2,422
13248,125,2,465.68,2,1,2,212
13249,92,3,711.41,2,2,3,223
13253,157,2,1030.4,1,1,3,113
13255,9,2,399.51,4,1,2,412
13258,12,3,698.58,4,2,3,423
13260,61,1,557.62,2,1,2,212
13261,269,2,944.1,1,1,3,113
13270,366,1,590.0,1,1,2,112
13276,64,2,590.9300000000001,2,1,2,212
13278,41,1,542.73,3,1,2,312
13280,122,3,814.86,2,2,3,223
13282,18,3,1132.14,4,2,3,423
13291,156,1,361.11,1,1,2,112
13292,39,2,578.9399999999999,3,1,2,312
13294,190,2,873.74,1,1,3,113
13298,1,1,360.0,4,1,2,412
13300,169,1,371.89,1,1,2,112
13301,104,4,618.09,2,2,2,222
13304,351,1,300.42,1,1,2,112
13308,23,3,1385.51,3,2,3,323
13309,7,5,1456.79,4,2,3,423
13310,28,3,1132.03,3,2,3,323
13311,4,2,598.57,4,1,2,412
13313,22,5,1555.32,3,2,3,323
13314,2,3,775.94,4,2,3,423
13318,1,3,640.76,4,2,2,422
13320,78,4,1548.7,2,2,3,223
13321,72,2,567.36,2,1,2,212
13323,3,5,787.85,4,2,3,423
13325,82,1,675.3,2,1,3,213
13328,316,1,1308.48,1,1,3,113
13329,32,2,789.0,3,1,3,313
13330,93,3,1140.93,2,2,3,223
13332,14,1,350.9,4,1,2,412
13336,77,1,795.12,2,1,3,213
13338,158,1,487.02,1,1,2,112
13339,201,1,860.12,1,1,3,113
13341,261,1,775.85,1,1,3,113
13343,178,1,353.43,1,1,2,112
13345,288,1,389.5,1,1,2,112
13347,70,1,341.36,2,1,2,212
13350,16,2,979.12,4,1,3,413
13351,66,1,373.94,2,1,2,212
13352,60,1,397.97999999999996,2,1,2,212
13354,71,1,743.53,2,1,3,213
13355,122,1,674.7,2,1,3,213
13356,80,1,768.24,2,1,3,213
13357,257,1,609.95,1,1,2,112
13358,269,1,439.03,1,1,2,112
13359,64,1,439.56,2,1,2,212
13363,18,2,992.5,4,1,3,413
13368,257,2,623.4,1,1,2,112
13369,366,1,308.28000000000003,1,1,2,112
13370,372,1,754.87,1,1,3,113
13372,90,1,378.64,2,1,2,212
13375,89,1,778.65,2,1,3,213
13376,99,3,1019.76,2,2,3,223
13379,26,3,572.56,3,2,2,322
13385,330,1,534.57,1,1,2,112
13388,131,2,677.1,2,1,3,213
13389,11,3,797.96,4,2,3,423
13390,75,1,544.08,2,1,2,212
13395,185,1,307.72,1,1,2,112
13396,29,2,1360.99,3,1,3,313
13397,73,5,1544.13,2,2,3,223
13398,192,1,457.34,1,1,2,112
13402,127,2,621.23,2,1,2,212
13405,74,3,572.451,2,2,2,222
13410,24,5,1003.06,3,2,3,323
13414,134,3,1390.5,2,2,3,223
13416,44,2,712.5,3,1,3,313
13417,5,2,640.83,4,1,2,412
13427,19,3,582.6,3,2,2,322
13429,11,4,1006.8,4,2,3,423
13430,19,2,679.45,3,1,3,313
13431,67,2,1269.1,2,1,3,213
13434,74,2,534.24,2,1,2,212
13447,23,3,1129.14,3,2,3,323
13452,259,2,590.0,1,1,2,112
13453,166,2,356.97999999999996,1,1,2,112
13455,25,2,1058.34,3,1,3,313
13461,39,3,1445.0,3,2,3,323
13464,58,1,674.68,2,1,3,213
13466,184,1,307.9,1,1,2,112
13467,11,2,1083.71,4,1,3,413
13473,61,2,422.64,2,1,2,212
13475,191,4,1431.78,1,2,3,123
13476,179,2,1238.47,1,1,3,113
13477,38,6,1454.58,3,3,3,333
13479,201,2,300.95,1,1,2,112
13484,241,1,313.8,1,1,2,112
13485,233,1,454.24,1,1,2,112
13486,78,3,1122.41,2,2,3,223
13487,58,3,575.4,2,2,2,222
13489,105,4,449.52,2,2,2,222
13491,52,10,1215.82,2,3,3,233
13494,312,1,316.26000000000005,1,1,2,112
13496,11,2,653.33,4,1,3,413
13497,283,2,348.05,1,1,2,112
13499,18,5,1159.11,4,2,3,423
13500,23,3,1166.77,3,2,3,323
13506,316,2,458.52,1,1,2,112
13509,9,7,979.72,4,3,3,433
13515,73,4,891.12,2,2,3,223
13516,21,3,1389.41,3,2,3,323
13518,86,1,659.4399999999999,2,1,3,213
13521,1,3,1093.65,4,2,3,423
