customer_id,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score,Segment,Segment_Name,Value_Score
12346,325,1,77183.6,325.0,1.0,17281.158099999997,1,1,5,115,3,🌟 Champions,28.0
12747,2,11,4196.01,2.0,11.0,4196.01,5,2,5,525,3,🌟 Champions,28.0
12748,0,209,33719.73,0.0,29.809999999999945,17281.158099999997,5,5,5,555,2,🌟 Champions,43.5
12749,3,5,4090.88,3.0,5.0,4090.88,5,1,5,515,1,🌟 Champions,22.8
12820,3,4,942.34,3.0,4.0,942.34,5,1,4,514,1,🌟 Champions,22.8
12821,214,1,92.72,214.0,1.0,92.72,1,1,1,111,0,🔔 Need Attention,8.8
12822,70,2,948.88,70.0,2.0,948.88,3,1,4,314,1,🌟 Champions,22.8
12823,74,5,1759.5,74.0,5.0,1759.5,2,1,4,214,1,🌟 Champions,22.8
12824,59,1,397.12,59.0,1.0,397.12,3,1,2,312,1,🌟 Champions,22.8
12826,2,7,1474.72,2.0,7.0,1474.72,5,2,4,524,1,🌟 Champions,22.8
12827,5,3,430.15,5.0,3.0,430.15,5,1,2,512,1,🌟 Champions,22.8
12828,2,6,1018.71,2.0,6.0,1018.71,5,1,4,514,1,🌟 Champions,22.8
12829,336,2,293.0,336.0,2.0,293.0,1,1,2,112,0,🔔 Need Attention,8.8
12830,37,6,6814.64,37.0,6.0,6814.64,3,1,5,315,1,🌟 Champions,22.8
12831,262,1,215.05,262.0,1.0,215.05,1,1,1,111,0,🔔 Need Attention,8.8
12832,32,2,383.03,32.0,2.0,383.03,4,1,2,412,1,🌟 Champions,22.8
12833,145,1,417.38,145.0,1.0,417.38,2,1,2,212,0,🔔 Need Attention,8.8
12834,282,1,312.38,282.0,1.0,312.38,1,1,2,112,0,🔔 Need Attention,8.8
12836,59,4,2612.86,59.0,4.0,2612.86,3,1,5,315,1,🌟 Champions,22.8
12837,173,1,134.1,173.0,1.0,134.1,2,1,1,211,0,🔔 Need Attention,8.8
12838,33,2,683.13,33.0,2.0,683.13,3,1,3,313,1,🌟 Champions,22.8
12839,2,14,5591.42,2.0,14.0,5591.42,5,3,5,535,3,🌟 Champions,28.0
12840,143,4,2726.77,143.0,4.0,2726.77,2,1,5,215,1,🌟 Champions,22.8
